diretor,diretor_ridab,confianca,ano_curta,n_curtas,premiado,festivais,n_longas,ano_1o_longa,gap,maduro,tinha_longa_antes,d1_qualquer_longa,d2_europa,d2_europa_pos,d3_festival,d3_festival_pos
Cassiana Der Haroutiounian,CASSIANA DER HAROUTIOUNIAN,alta,2022,1,False,Rotterdam,0,,,False,False,False,False,False,False,False
Vinícius Lopes,VINICIUS SILVA LOPES,alta,2022,1,False,Rotterdam,2,2020,,False,True,True,False,False,False,False
Victoria Negreiros,VICTORIA NEGREIROS GUEDES,media,2022,1,False,Clermont-Ferrand,0,,,False,False,False,False,False,False,False
Cesar Gananian,CESAR AUGUSTO GANANIAN,alta,2022,1,False,Rotterdam,1,2020,,False,True,True,False,False,False,False
Emanuel Lavor,EMANUEL VINICIUS LAVOR MIRANDA,alta,2023,1,False,Berlinale,0,,,False,False,False,False,False,False,False
Rafaela Camelo,RAFAELA CAMELO VIEIRA,alta,2023,1,False,Berlinale,1,2025,2.0,False,False,True,False,False,False,False
Laís Santos Araújo,LAIS SANTOS ARAUJO,alta,2023,1,True,Berlinale,0,,,False,False,False,False,False,False,False
Roger Ghil,ROGER GOMES GHIL,alta,2023,1,False,Rotterdam,0,,,False,False,False,False,False,False,False
Paulo Menezes,,sem_correspondencia,2023,1,True,Locarno,0,,,False,False,False,False,False,False,False
Pedro Vargas,PEDRO VARGAS CUNHA,media,2023,1,False,Cannes,0,,,False,False,False,False,False,False,False
Leandro Goddinho,,sem_correspondencia,2023,1,True,Locarno,0,,,False,False,False,False,False,False,False
Leonardo Pirondi,,sem_correspondencia,2024,1,False,Rotterdam,0,,,False,False,False,False,False,False,False
Moara Passoni,MOARA ROSSETTO PASSONI,alta,2024,1,False,Veneza,1,2019,,False,True,True,False,False,False,False
André Hayato Saito,ANDRE HAYATO SAITO,alta,2024,1,False,Cannes,0,,,False,False,False,False,False,False,False
Valentina Homem,VALENTINA ONUFER CORREA HOMEM,alta,2024,1,False,Cannes,1,2023,,False,True,True,False,False,False,False
Rosa Caldeira,,sem_correspondencia,2025,1,False,Berlinale,0,,,False,False,False,False,False,False,False
Lucia Murat,LUCIA MARIA MURAT VASCONCELLOS,alta,2025,1,False,Berlinale,15,1989,0.0,False,True,True,True,False,False,False
Luiza Calagian,LUIZA MANDETTA CALAGIAN,alta,2025,1,False,Berlinale,1,2025,0.0,False,False,True,False,False,False,False
Gustavo de Carvalho,,baixa,2025,1,False,Berlinale,0,,,False,False,False,False,False,False,False
Pethrus Tibúrcio,,sem_correspondencia,2025,1,False,Rotterdam,0,,,False,False,False,False,False,False,False
Stephanie Ricci,STEPHANIE DE MARCHI RICCI,media,2025,1,False,Rotterdam,0,,,False,False,False,False,False,False,False
