CPB;titulo;categoria;n_chamadas_fsa;todas_chamadas;todos_valores;tem_complementacao;tem_comercializacao;cat_nova;motivo_cat;cat_antiga;reclassificada
B1900117400000;A COLMEIA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;300000|92000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900412100000;A VOZ DO VERBO ENCANTADO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;237416;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900034500000;ALASKA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;200000|178500;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800093300000;ANJOS HUMANOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;283333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800141000000;AZOUGUE NAZARÉ;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;215300|180000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800494000000;BEIÇO DE ESTRADA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;500000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800394600000;BOTECAM;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;128000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900032600000;CARTAS PARA...A SÉRIE, ESCRITORAS BAIANAS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;226000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900210300000;"CIRCO SOCIAL ""OS KACO""";FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;15000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900433000000;CODINOME BRENO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
