cnpj_produtora,razao,n_obras,fsa_total_mi,inv_total_mi,publico_total,publico_med,renda_total_mi,efic,pct_cinema,pct_intl,admissoes_eu,critica_med,uf,cluster,cluster_label
02.175.084/0001-20,R-TV PRODUÇÕES LTDA,3,2.43863379732,2.43863379732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,PE,2.0,Baixo retorno / nicho
10.718.755/0001-80,TAO LOCADORA DE EQUIPAMENTOS CINEMATOGRAFICOS LTDA - ME,1,2.4363395,2.4363395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,DF,,Emergentes / micro
11.360.555/0001-60,FLASH MINAS TV PRODUTORA E MARKETING EIRELI,1,2.38326165,2.38326165,9446.0,9446.0,0.12001124,3963.4758525149764,100.0,0.0,0.0,3.5,MG,,Emergentes / micro
04.979.293/0001-51,FLO PROJETOS LTDA,2,2.371659456,2.371659456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,GO,2.0,Baixo retorno / nicho
19.099.086/0001-80,VERMELHO PROFUNDO PRODUÇÕES AUDIOVISUAIS LTDA,2,2.3394952203000003,2.360515479725,1824.0,1824.0,0.013055200000000001,1490.752333999952,50.0,0.0,0.0,3.75,PB,0.0,Produção para TV/VoD
04.125.602/0001-26,IDEOGRAMA PRODUÇÕES CULTURAIS LTDA ME,1,2.437251005952,2.3430760059519997,443.0,443.0,0.003286,189.06770368296594,100.0,0.0,0.0,3.89,RS,,Emergentes / micro
12.772.107/0001-37,NOVELO FILMES PRODUÇÕES AUDIOVISUAIS LTDA ME,3,2.2793988221649997,2.2793988221649997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,SC,2.0,Baixo retorno / nicho
07.372.049/0001-14,FILMES DE ABRIL PRODUÇÕES AUDIOVISUAIS LTDA.,1,2.285314122,2.249614722,804.0,804.0,0.007923350000000001,357.39453166683177,100.0,100.0,0.0,3.89,SP,,Emergentes / micro
20.232.042/0001-65,POLANA FILMES LTDA.,1,2.2305165,2.2305165,70.0,70.0,0.0014616,31.382865807089974,100.0,0.0,0.0,4.3,SP,,Emergentes / micro
09.260.004/0001-83,TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA,3,1.6332754724399998,2.2246699724399996,1083.0,1083.0,0.012209459999999998,913.0003408366,33.33333333333333,0.0,0.0,4.003,SP,0.0,Produção para TV/VoD
25.278.158/0001-59,BAHIA VISUAL PRODUÇÕES E SERVIÇOS LTDA - EPP,3,2.22125595332,2.22125595332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.058,BA,2.0,Baixo retorno / nicho
26.694.889/0001-48,CAPURI FILMES PRODUÇÕES LTDA,1,2.2197835439999998,2.2197835439999998,11014.0,11014.0,0.23510227,4961.745044813253,100.0,100.0,0.0,3.89,RJ,,Emergentes / micro
