cpb,titulo_original,ano_ref,ano_producao_inicial,uf_requerente,segmento_destinacao_inicial,tipo_obra,familia_chamada,chamada_publica,coproducao_internacional,valor_contrato_brl,n_contratos_fsa,fator_real_2024,valor_contrato_r2024,valor_fsa_r2024,inv_fsa_r2024,inv_renuncia_r2024,tem_renuncia,publico_domestico,chegou_cinema,publico_por_milhao_r2024,renda_total,sessoes_total,n_municipios,eventos_intl,pontos_intl,fest_pontuacao,fest_n,admissoes_europa,vod_eu_presencas,cartaz_eua,cartaz_asia,intl_n_mercados,desempenho_internacional,intl_n_sinais,tem_internacional,n_canais_intl,vod_paises,critica_indice_1_5,imdb_rating,imdb_n_votos,tem_critica,tem_imdb
B1600287300000,DESERTO,2012,2016,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,False,1016273.0,3,1.971315,3632076.4389029997,2003394.208995,1946602.1139029998,1685474.325,True,1357.0,True,373.6154849235101,17377.15,179.0,9.0,,,,,,,False,False,0,0.0,0,False,,,3.705,6.7,62.0,True,True
B1201643000000,A HORA E A VEZ DE AUGUSTO MATRAGA,2008,2011,SP,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.454812,4801451.0,1227406.0,1227406.0,3574045.0,True,2132.0,True,444.0324393605183,34440.19,,,,,,,,,False,False,0,0.0,0,False,,,3.683,7.1,187.0,True,True
B2500140000000,MULHERES,2014,2025,MT,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,PRODAV,PRODAV 06,False,500000.0,1,1.749188,874594.0,874594.0,874594.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2200154700000,"SE EU CONTAR, VOCÊ ESCUTA ?",2013,2022,MG,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,1674161.0,930655.5,930655.5,743505.5,True,539.0,True,321.9523092462433,3003.64,38.0,3.0,,,,,,,False,False,0,0.0,0,False,,,3.895,,,True,False
B1001166000000,INSOLAÇÃO,2008,2009,SP,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.454812,2728001.0,1227406.0,1227406.0,1500595.0,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,5.5,168.0,False,True
B2300363300000,COM AS PRÓPRIAS MÃOS,2016,2023,PE,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODAV,PRODAV 02 - PROJETO DERIVADO,False,500000.0,1,1.487011,743505.5,743505.5,743505.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.068,,,True,False
B1301763500000,ESTAÇÃO LIBERDADE,2008,2012,SP,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.454812,2537657.0,1227406.0,1227406.0,1310251.0,True,464.0,True,182.84582983437085,7474.29,,,,,,,,,False,False,0,0.0,0,False,,,,5.7,58.0,False,True
B1900189100000,MISSÃO CUPIDO,2018,2017,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,COMERCIALIZAÇÃO EM CINEMA,False,900000.0,3,1.392194,5410690.7206999995,1252974.5999999999,1362043.4,4048647.3207,True,1183.0,True,218.64121626359585,20073.68,332.0,14.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1800504700000,TORRE DAS DONZELAS,2013,2018,RJ,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODECINE,PRODECINE 01,False,810425.0,3,1.861311,2327197.368215,1508452.9671749999,1415154.978215,912042.3899999999,True,6424.0,True,2760.401884145872,82949.21,317.0,17.0,,,26.0,8.0,,,False,False,0,5.2,1,True,,,,7.9,123.0,False,True
B1101445400000,O PAÍS DO DESEJO,2008,2011,RJ,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.454812,3060714.7,1227406.0,1227406.0,1500000.0,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,2.0,0.0,3.635,,,True,False
