cpb,titulo_original,ano_ref,ano_producao_inicial,uf_requerente,segmento_destinacao_inicial,tipo_obra,familia_chamada,chamada_publica,coproducao_internacional,valor_contrato_brl,n_contratos_fsa,fator_real_2024,valor_contrato_r2024,valor_fsa_r2024,inv_fsa_r2024,inv_renuncia_r2024,tem_renuncia,publico_domestico,chegou_cinema,publico_por_milhao_r2024,renda_total,sessoes_total,n_municipios,eventos_intl,pontos_intl,fest_pontuacao,fest_n,admissoes_europa,vod_eu_presencas,cartaz_eua,cartaz_asia,intl_n_mercados,desempenho_internacional,intl_n_sinais,tem_internacional,n_canais_intl,vod_paises,critica_indice_1_5,imdb_rating,imdb_n_votos,tem_critica,tem_imdb
B2600016900000,MEDLEY,2023,2026,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,7500000.0,1,1.0483,7862250.0,7862250.0,7862250.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2300303300000,TPM! MEU AMOR,2018,2023,SP,SALAS DE EXIBIÇÃO,FICÇÃO,CONCURSO,CONCURSO PRODUÇÃO PARA CINEMA,False,5735577.5,2,1.392194,12605718.17970535,7985036.5820349995,7985036.5820349995,4620681.59767035,True,530.0,True,42.044411309565575,8847.38,252.0,15.0,,,,,,,False,False,0,0.0,0,False,,,4.3,5.6,50.0,True,True
B2500192800000,A SOGRA PERFEITA 2,2023,2025,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA VIA DISTRIBUIDORA,False,5500000.0,1,1.0483,9321529.033599999,5765650.0,5765650.0,3555879.0336,True,113969.0,True,12226.427616026516,2112519.3,29439.0,206.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400522800000,HOMEM COM H,2023,2024,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,5500000.0,1,1.0483,9942232.0,5765650.0,5765650.0,4176582.0,True,654421.0,True,65822.34250820137,13991250.21,26552.0,242.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1800078700000,"TORI, A DETETIVE",2023,2017,BA,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,6222300.0,2,1.0483,6522837.09,6522837.09,,,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2500400300000,"QUEM TEM COM QUE ME PAGUE, NÃO ME DEVE NADA",2022,2025,BA,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,CINEMA VIA DISTRIBUIDORA,False,5000000.0,1,1.096731,5483654.999999999,5483654.999999999,5483654.999999999,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2500287500000,O REI DA FEIRA,2022,2025,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,CINEMA VIA DISTRIBUIDORA,False,5000000.0,1,1.096731,5483654.999999999,5483654.999999999,5483654.999999999,0.0,False,121126.0,True,22088.552252101934,2274513.19,28795.0,230.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1500542700000,"TORI, A DETETIVE",2023,2015,BA,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,6222300.0,2,1.0483,7516580.4353,6522837.09,7516580.4353,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2100472800000,PALOMA,2022,2021,PE,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,True,4500000.0,1,1.096731,4935289.5,4935289.5,4935289.5,0.0,False,3458.0,True,700.6681168348889,47179.91,314.0,12.0,,,26.5,9.0,,22.0,False,False,0,15.3,3,True,1.0,12.0,,6.8,337.0,False,True
B2500526300000,PALOMA,2022,2025,PE,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,False,4500000.0,1,1.096731,4935289.5,4935289.5,,,False,,False,0.0,,,,,,,,,22.0,False,False,0,10.0,1,True,1.0,12.0,,,,False,False
B2400012600000,OS FAROFEIROS 2,2018,2024,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,DESEMPENHO,SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL CINEMA,False,4500000.0,1,1.392194,10861900.2,6264873.0,6264873.0,4597027.2,True,1926724.0,True,177383.6957183606,36468385.54,68533.0,400.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900413700000,PLANETA PALAVRA,2022,2018,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,False,7500000.0,2,1.096731,12922734.954,8225482.499999999,10849234.5,2073500.454,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900047500000,A GAROTA DA MOTO – SEGUNDA TEMPORADA,2013,2018,SP,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),FICÇÃO,PRODAV,PRODAV 01,False,4813557.84,2,1.861311,8871491.46266496,8959528.15672824,8871491.46266496,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.8,,,True,False
B2500405800000,DOLORES,2022,2025,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,5474561.0,3,1.096731,6674390.609471,6004120.760090999,6674390.609471,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,1.0,0.0,,,,False,False
B2200250300000,"EIKE, TUDO OU NADA",2015,2022,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,6269868.39,4,1.580544,14318080.15334766,9909802.864604158,9576448.15334766,4741632.0,True,18466.0,True,1289.6980462623355,481818.37,3226.0,81.0,,,,,,,False,False,0,0.0,0,False,,,3.63,6.1,560.0,True,True
B2500496400000,QUERIDO MUNDO,2022,2025,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,4500000.0,1,1.096731,10712893.5,4935289.5,4935289.5,5777604.0,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2000367000000,GAROTA DA MOTO,2013,2020,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 01,False,7598717.859999999,3,1.861311,17023118.912384838,14143577.138714459,12689915.91238484,4333203.0,True,2923.0,True,171.70766503154886,49036.58,1402.0,39.0,,,,,,,False,False,0,0.0,0,False,,,3.8,4.4,72.0,True,True
B2400454300000,TUIGA  - 2ª TEMPORADA,2022,2024,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO TV-VOD,False,4500000.0,1,1.096731,4935289.5,4935289.5,4935289.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1700085000000,QUESTÃO DE FAMILIA 3º TEMPORADA,2013,2016,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,4731917.0,2,1.861311,8775959.783396,8807569.163186999,8775959.783396,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.656,,,True,False
B2100113200000,L.O.C.A.,2018,2021,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,4438846.48,1,1.392194,10069514.29055753,6179735.43637712,6179735.43637712,3889778.8541804105,True,10.0,True,0.9930965597195969,163.8,14.0,1.0,,,,,,,False,False,0,0.0,0,False,,,4.3,6.2,42.0,True,True
B2500441800000,QUASE DESERTO,2018,2025,SP,SALAS DE EXIBIÇÃO,FICÇÃO,CONCURSO,CONCURSO PRODUÇÃO PARA CINEMA,False,4200000.0,1,1.392194,9851224.8,5847214.8,5847214.8,4004010.0,True,342.0,True,34.71649535395842,5535.46,232.0,17.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2300334500000,NOTÍCIAS POPULARES,2017,2023,SP,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 06,False,4126100.0,1,1.444401,5959742.9661,5959742.9661,5959742.9661,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2500287400000,BRASIL DA PAZ,2022,2025,SP,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,False,4013131.0,1,1.096731,4401325.174760999,4401325.174760999,4401325.174760999,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400008800000,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,2018,2024,SP,SALAS DE EXIBIÇÃO,FICÇÃO,COMERCIALIZAÇÃO - OPÇÃO ,COMERCIALIZAÇÃO - OPÇÃO DE INVESTIMENTO EM COMERCIALIZAÇÃO,False,3998750.0,1,1.392194,5567035.757499999,5567035.757499999,5567035.757499999,0.0,False,206572.0,True,37106.28222958743,3713906.48,19116.0,352.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900241600000,TODA FORMA DE AMOR,2013,2019,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,3994930.0,1,1.861311,7435807.153229999,7435807.153229999,7435807.153229999,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.3,,,True,False
B1600739400000,SEM VOLTA,2013,2016,RJ,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),FICÇÃO,PRODAV,PRODAV 01,False,3900000.0,1,1.861311,13959832.499999998,7259112.899999999,7259112.899999999,6700719.6,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.5,,,True,False
B2500200100000,VUDU DELIVERY,2018,2025,SP,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,6629816.1,2,1.392194,8573580.3933352,9229990.1955234,8573580.3933352,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2300448200000,NO ANO QUE  VEM,2013,2023,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,3796849.26,1,1.861311,7067117.29297986,7067117.29297986,7067117.29297986,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.3,,,True,False
B2000078000000,DEPOIS A LOUCA SOU EU,2015,2020,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,4470939.7,3,1.580544,12163653.574469801,7066516.9171968,6977192.6671968,5186460.907273,True,13321.0,True,1095.1479272608801,240239.76,3297.0,60.0,,,,,,,False,False,0,0.0,0,False,,,4.123,6.4,845.0,True,True
B1800212300000,CONTRACAPA,2015,2018,PR,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),FICÇÃO,PRODAV,PRODAV 12,False,3718000.0,1,1.580544,5876462.592,5876462.592,5876462.592,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1800088900000,BAILE DE MÁSCARAS,2015,2018,RJ,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),FICÇÃO,PRODAV,PRODAV 11,False,3717855.0,1,1.580544,5876233.41312,5876233.41312,5876233.41312,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,2.627,,,True,False
B1800397100000,O DOUTRINADOR - O FILME,2017,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,6800000.0,3,1.444401,11876970.39812349,9821926.8,9774547.26,2102423.13812349,True,283864.0,True,23900.371095043673,3933474.85,25265.0,216.0,,,4.0,1.0,,,False,False,0,0.8,1,True,,,3.6,,,True,False
B2400324200000,LAB DE CHEF,2022,2024,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODUCAO,PRODUÇÃO TV-VOD,False,3509605.0,1,1.096731,3849092.6012549996,3849092.6012549996,3849092.6012549996,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400258400000,JUVENAL E O DRAGÃO,2018,2024,PB,SALAS DE EXIBIÇÃO,ANIMAÇÃO,SAV/MINC 01,SAV/MINC 01,False,3500000.0,1,1.392194,4872679.0,4872679.0,4872679.0,0.0,False,1301.0,True,266.99891373923873,19266.51,3575.0,77.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400293500000,MOTEL DESTINO,2018,2024,CE,SALAS DE EXIBIÇÃO,FICÇÃO,CONCURSO,CONCURSO PRODUÇÃO PARA CINEMA,True,3500000.0,1,1.392194,8353375.0,4872679.0,4872679.0,3480696.0,True,67575.0,True,8089.544645128466,1138650.57,4893.0,77.0,,,,,11436.0,31.0,False,False,1,16.67,3,True,2.0,8.0,,,,False,False
B2000034100000,NO GOGÓ DO PAULINHO,2018,2020,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,4500000.0,2,1.392194,10729725.055,6264873.0,6317080.0,4412645.055,True,109.0,True,10.158694602263507,1435.0,21.0,1.0,,,,,,,False,False,0,0.0,0,False,,,3.673,5.4,335.0,True,True
B2200065000000,AMADO,2018,2022,DF,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,3500000.0,1,1.392194,4872679.0,4872679.0,4872679.0,0.0,False,1303.0,True,267.40936556666264,26401.41,346.0,4.0,,,,,,,False,False,0,0.0,0,False,,,3.63,6.3,148.0,True,True
B1700466900000,ENTRE IRMÃS,2014,2016,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,3500000.0,1,1.749188,11100871.6,6122158.0,6122158.0,4978713.6,True,59699.0,True,5377.866004683812,947379.45,3332.0,51.0,,,6.0,2.0,,,False,False,0,1.2,1,True,,,3.3,7.7,462.0,True,True
B2400338200000,UMA ADVOGADA BRILHANTE,2018,2024,SP,SALAS DE EXIBIÇÃO,FICÇÃO,DESEMPENHO,SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL CINEMA,False,5037300.01,2,1.392194,10831270.274875458,7012898.85012194,6654688.274875459,4176582.0,True,142798.0,True,13183.864530759478,2676971.98,17779.0,277.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400372400000,OS ENFORCADOS,2018,2024,SP,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,True,5650000.0,5,1.392194,12717885.75,7865896.1,7879142.4,4838743.35,True,12546.0,True,986.48472290294,259041.71,3091.0,75.0,,,,,,,False,False,0,0.0,1,True,,,,,,False,False
B2400521700000,OVERMAN,2018,2024,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,DESEMPENHO,SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL TV E VOD,False,3206461.2,1,1.392194,9359304.3442638,4464016.0438728,4464016.0438728,4895288.300391,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400291300000,MALÊS,2022,2024,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,CINEMA VIA DISTRIBUIDORA,False,4392182.99,3,1.096731,11785581.275580619,4817043.24280569,5181676.025580619,6603905.25,True,104020.0,True,8826.039002041114,1900830.58,13432.0,149.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1700468400000,COMO É  CRUEL VIVER ASSIM,2014,2016,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,3115000.0,1,1.749188,9598888.00753589,5448720.62,5448720.62,4150167.3875358906,True,5181.0,True,539.7500206203576,75054.72,1295.0,11.0,,,,,,,False,False,0,0.0,0,False,,,4.084,6.0,132.0,True,True
B2300276400000,VERMELHO MONET,2017,2023,CE,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,6100000.0,2,1.444401,8654225.100000001,8810846.1,8654225.100000001,0.0,False,3481.0,True,402.2312754494911,51554.92,432.0,16.0,,,,,,,False,False,0,0.0,0,False,,,3.717,6.7,96.0,True,True
B2400024100000,LAMA DOS DIAS 2ª TEMPORADA,2016,2024,PE,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 02 - PROJETO DERIVADO,False,3045000.0,1,1.487011,4527948.495,4527948.495,4527948.495,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2200325000000,A PORTA AO LADO,2016,2022,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,5148536.11,5,1.487011,8395455.31301531,7655929.829467211,7627710.59414065,767744.71887466,True,1017.0,True,121.1369678096392,13575.99,403.0,13.0,,,,,,,False,False,0,0.0,0,False,,,3.171,5.4,148.0,True,True
B2000459700000,HIT PARADE,2013,2020,SP,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,3000030.0,1,1.861311,5583988.83933,5583988.83933,5583988.83933,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900157600000,KARDEC,2013,2019,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,False,4194083.7199999997,2,1.861311,12920173.91401936,7806494.1629569195,7672609.91401936,5247564.0,True,757742.0,True,58647.97215908936,11849901.0,26260.0,262.0,,,4.0,1.0,,,False,False,0,0.8,1,True,,,3.8,6.1,1960.0,True,True
B2100282200000,"PLUFT, O FANTASMINHA",2013,2021,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,False,6178774.109999999,3,1.861311,19546380.43441584,11500620.217458209,10073164.25941584,9473216.174999999,True,129093.0,True,6604.445279940549,2270066.42,11996.0,198.0,,,,,,,False,False,0,0.0,0,False,,,3.938,,,True,False
B2000006000000,DE PERTO ELA NÃO É NORMAL,2016,2019,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3200000.0,2,1.487011,9091638.2,4758435.2,4758435.2,4333203.0,True,488.0,True,53.67569510190145,10525.15,130.0,7.0,,,,,,,False,False,0,0.0,0,False,,,4.4,5.3,73.0,True,True
B2400235900000,VIVA A VIDA,2018,2024,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,3000000.0,1,1.392194,12184602.0,4176582.0,4176582.0,8008020.0,True,13728.0,True,1126.6679042942887,204525.4,2916.0,127.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1800029400000,O AMOR DÁ TRABALHO,2015,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,3000000.0,1,1.580544,9946170.485129891,4741632.0,4741632.0,5204538.485129891,True,58691.0,True,5900.864064993305,912492.46,3452.0,55.0,,,,,,,False,False,0,0.0,0,False,,,4.3,5.7,241.0,True,True
B1800556100000,CHORAR DE RIR,2013,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 04,False,3000000.0,1,1.861311,15178345.330083,5583933.0,5583933.0,9594412.330083,True,83888.0,True,5526.821150506877,1250624.59,6796.0,99.0,,,,,,,False,False,0,0.0,0,False,,,,6.2,97.0,False,True
B1900019800000,ALBATROZ,2013,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.861311,9583678.3845757,5583933.0,5583933.0,3999745.3845757,True,6387.0,True,666.445569613381,112632.91,893.0,15.0,,,,,,,False,False,0,0.0,0,False,,,,5.3,155.0,False,True
B2400187300000,O CLUBE DAS MULHERES DE NEGÓCIOS,2018,2024,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,4667031.01,4,1.392194,10778315.09921111,6497412.569935939,6601733.09921111,4176582.0,True,3354.0,True,311.1803625267448,51023.74,392.0,20.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1500257800000,QUESTÃO DE FAMÍLIA 2º TEMPORADA,2013,2014,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,3000000.0,1,1.861311,5583933.0,5583933.0,5583933.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.656,,,True,False
B1800269200000,MULHERES ALTERADAS,2016,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3200000.0,2,1.487011,10658883.38419456,4758435.2,4810870.6,5848012.784194561,True,92611.0,True,8688.621186842844,1440498.83,4601.0,43.0,,,5.0,2.0,,,False,False,0,1.0,1,True,,,2.5,5.4,188.0,True,True
B1700119200000,COMO NOSSOS PAIS,2013,2017,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.861311,10341504.621,5583933.0,5583933.0,4757571.621,True,207286.0,True,20044.085227122003,3510486.35,8109.0,68.0,,,31.0,10.0,36866.0,,False,False,1,12.87,2,True,1.0,0.0,3.7,7.2,2426.0,True,True
B2300212900000,MEU NOME É GAL,2018,2023,SP,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,3200000.0,2,1.392194,9651190.2771763,4455020.8,4455020.8,5196169.4771763,True,168788.0,True,17488.827300313387,3492347.04,9609.0,119.0,2.0,5.5,5.5,3.0,2825.0,,False,False,1,7.77,3,True,2.0,0.0,3.0,6.3,763.0,True,True
B2300349700000,NOSSO SONHO,2018,2023,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,3000000.0,1,1.392194,9975924.9,4176582.0,4176582.0,5799342.9,True,499599.0,True,50080.469230477065,8419388.24,18123.0,200.0,,,,,,,False,False,0,0.0,0,False,,,4.259,7.2,1250.0,True,True
B1500593700000,SANTO FORTE,2012,2015,SP,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,3000000.0,1,1.971315,8892042.6,5913945.0,5913945.0,2978097.6,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900454200000,VENEZA,2016,2019,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,4265132.65,2,1.487011,11632675.56479265,6342299.167009151,6288391.86479265,5344283.7,True,7665.0,True,658.9197779398937,144622.02,2218.0,54.0,,,,,,,False,False,0,0.0,0,False,,,3.825,6.8,178.0,True,True
B1800307900000,O CANDIDATO HONESTO 2,2016,2018,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3811294.0,3,1.487011,10999214.83638958,5667436.102234,5714202.602234,5285012.23415558,True,589443.0,True,53589.552415132275,8354062.3,46087.0,275.0,,,,,,,False,False,0,0.0,0,False,,,3.1,5.4,561.0,True,True
B2000502900000,QUEM VAI FICAR COM MÁRIO,2018,2020,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,False,3523217.5300000003,2,1.392194,9696244.222502831,4905002.30596082,4954612.22250283,4741632.0,True,15096.0,True,1556.8914781421793,254767.06,2557.0,60.0,,,,,,,False,False,0,0.0,0,False,,,3.835,5.5,682.0,True,True
B2200343300000,A ÚLTIMA FESTA,2018,2022,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,True,3000000.0,1,1.392194,5620983.0,4176582.0,4176582.0,1444401.0,True,1624.0,True,288.91743668322783,30927.12,606.0,34.0,,,,,,,False,False,0,0.0,1,True,,,4.7,5.5,40.0,True,True
B2000065800000,TARSILINHA,2013,2020,SP,SALAS DE EXIBIÇÃO,ANIMAÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.861311,11736182.8344,5583933.0,5583933.0,6152249.8344,True,8442.0,True,719.31394722785,143306.19,2237.0,55.0,,,,,,,False,False,0,0.0,0,False,,,3.463,6.0,149.0,True,True
B2500048500000,MANAS,2018,2025,PE,SALAS DE EXIBIÇÃO,FICÇÃO,CONCURSO,CONCURSO PRODUÇÃO PARA CINEMA,True,3000000.0,1,1.392194,12158218.61469726,4176582.0,4176582.0,7981636.614697261,True,20421.0,True,1679.6046071514468,373311.3,1199.0,29.0,,,,,,5.0,False,False,0,4.0,2,True,2.0,2.0,,,,False,False
B1700395900000,DUAS DE MIM,2012,2017,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3638360.0,2,1.971315,8903305.88196685,7172353.6433999995,7030556.65168,1872749.23028685,True,295790.0,True,33222.49105235239,3930701.25,13064.0,104.0,,,,,,,False,False,0,0.0,0,False,,,4.2,4.4,152.0,True,True
B2100260000000,DIÁRIOS DE INTERCÂMBIO,2016,2021,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.487011,11794435.92804,4461033.0,4461033.0,7333402.92804,True,34.0,True,2.882715223300223,227.0,70.0,5.0,,,,,,,False,False,0,0.0,0,False,,,3.948,,,True,False
B1402406800000,IRMÃ DULCE,2012,2014,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.971315,19318887.01971315,5913945.0,5913945.0,13404942.01971315,True,207825.0,True,10757.607298388033,2373703.61,,,,,,,,,False,False,0,0.0,0,False,,,4.2,7.1,314.0,True,True
B1800410600000,TUDO ACABA EM FESTA,2013,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.861311,12423257.67768676,5583933.0,5583933.0,6839324.67768676,True,30562.0,True,2460.06327751633,462133.23,3582.0,27.0,,,,,,,False,False,0,0.0,0,False,,,2.998,5.4,79.0,True,True
B1900235500000,TURMA DA MÔNICA - LAÇOS,2016,2019,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,False,3000000.0,1,1.487011,11848503.648,4461033.0,4461033.0,7387470.648,True,2158789.0,True,182199.2940319007,30453059.16,61898.0,339.0,,,13.5,4.0,,,False,False,0,2.7,1,True,,,3.9,7.1,2717.0,True,True
