k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
jose e pilar,José e Pilar,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
journey to the end of the night,Journey to the End of the Night,0.0,3.0,2.0,0.0,0.0,0.0,,0,1
kaiser the greatest footballer never to play football,Kaiser: The Greatest Footballer Never to Play Football,0.0,5.0,5.0,0.0,0.0,0.0,,0,1
karnawal,Karnawal,0.0,7.0,2.0,0.0,0.0,0.0,,0,1
keepers of the magic,Keepers of the Magic,0.0,33.0,24.0,0.0,0.0,0.0,,0,1
kick out your boss,Kick Out Your Boss,0.0,6.0,3.0,0.0,0.0,0.0,,0,1
kilas o mau da fita,"Kilas, O Mau Da Fita",0.0,1.0,1.0,0.0,0.0,0.0,,0,1
killer fish,Killer Fish,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
killer ratings,Killer Ratings,0.0,30.0,30.0,0.0,0.0,0.0,,0,1
korubo morir matando,Korubo: Morir matando,0.0,4.0,1.0,0.0,0.0,0.0,,0,1
la dignidad de los nadies,La Dignidad de los nadies,0.0,6.0,5.0,0.0,0.0,0.0,,0,1
la patota,La patota,0.0,19.0,4.0,0.0,0.0,0.0,,0,1
la playa,La Playa,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
la tierra y la sombra,La tierra y la sombra,0.0,13.0,5.0,0.0,0.0,0.0,,0,1
lakey peterson zero to 100,Lakey Peterson: Zero to 100,0.0,77.0,27.0,0.0,0.0,0.0,,0,1
lalgam portraits of survival,LALGAM - portraits of survival,0.0,24.0,24.0,0.0,0.0,0.0,,0,1
lana konigin der amazonen,Lana - Königin der Amazonen,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
landfill harmonic,Landfill Harmonic,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
las herederas,Las herederas,0.0,44.0,12.0,0.0,0.0,0.0,,0,1
les iles resonnantes,Les îles résonnantes,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
les rebelles du foot,Les rebelles du foot,0.0,11.0,6.0,0.0,0.0,0.0,,0,1
little men,Little Men,0.0,53.0,15.0,0.0,0.0,0.0,,0,1
little stones,Little Stones,0.0,26.0,20.0,0.0,0.0,0.0,,0,1
lo que queda en el camino,Lo que queda en el camino,0.0,54.0,27.0,0.0,0.0,0.0,,0,1
lope,Lope,0.0,22.0,7.0,0.0,0.0,0.0,,0,1
los conductos,Los conductos,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
los delincuentes,Los delincuentes,0.0,40.0,12.0,29.0,0.0,0.0,B2300373000000,0,2
los leones,Los Leones,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
los silencios,Los silencios,0.0,12.0,4.0,0.0,0.0,1.0,,0,2
love is strange,Love Is Strange,0.0,66.0,13.0,0.0,0.0,0.0,,0,1
magia verde,Magia verde,0.0,27.0,27.0,0.0,0.0,0.0,,0,1
man proposes god disposes,"Man Proposes, God Disposes",0.0,4.0,4.0,0.0,0.0,0.0,,0,1
manas,Manas,0.0,5.0,2.0,0.0,0.0,1.0,,0,2
mata atlantica,Mata Atlântica,0.0,27.0,27.0,0.0,0.0,0.0,,0,1
mata mata stories about football dreams and life,"MATA MATA: Stories about Football, Dreams and Life",0.0,14.0,12.0,0.0,0.0,0.0,,0,1
meninas formicida,Meninas Formicida,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
meu querido supermercado,Meu Querido Supermercado,0.0,6.0,4.0,0.0,0.0,0.0,,0,1
milk,Milk,0.0,56.0,27.0,0.0,0.0,0.0,,0,1
mission amazonas,Mission Amazonas,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
miucha the voice of bossa nova,"Miúcha, the Voice of Bossa Nova",0.0,3.0,2.0,0.0,0.0,0.0,,0,1
mord in rio,Mord in Rio,0.0,9.0,3.0,0.0,0.0,0.0,,0,1
morro dos prazeres,Morro dos Prazeres,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
mosquito,Mosquito,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
mothership goes to brazil,Mothership goes to Brazil,0.0,7.0,7.0,0.0,0.0,0.0,,0,1
murina,Murina,0.0,42.0,9.0,0.0,0.0,0.0,,0,1
my blood is red,My Blood Is Red,0.0,29.0,27.0,0.0,0.0,0.0,,0,1
my love six stories of true love,My Love: Six Stories of True Love,0.0,31.0,31.0,0.0,0.0,0.0,,0,1
mya go,Mya Go,0.0,4.0,1.0,0.0,0.0,0.0,,0,1
nada tenho de meu,Nada Tenho de Meu,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
nadie nos mira,Nadie nos mira,0.0,27.0,10.0,0.0,0.0,0.0,,0,1
nao sao aguas passadas,Não São Águas Passadas,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
nardjes a,Nardjes A.,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
nheengatu,Nheengatu,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
no kings,No Kings,0.0,5.0,4.0,0.0,0.0,0.0,,0,1
no meu lugar,No Meu Lugar,0.0,1.0,1.0,0.0,1.0,0.0,,0,2
