k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
o pastor e o guerrilheiro,O PASTOR E O GUERRILHEIRO,0.0,0.0,0.0,4.0,0.0,0.0,B2300121300000,0,1
o roubo da taca,O ROUBO DA TAÇA,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
o sequestro do voo 375,O SEQUESTRO DO VOO 375,0.0,0.0,0.0,4.0,0.0,0.0,B2300524600000,0,1
o touro the bull,O TOURO (THE BULL),0.0,0.0,0.0,3.0,0.0,0.0,,0,1
obra,OBRA,0.0,0.0,0.0,14.0,0.0,0.0,,0,1
olhe pra mim de novo,OLHE PRA MIM DE NOVO,0.0,0.0,0.0,8.0,0.0,0.0,,0,1
os inimigos da dor,OS INIMIGOS DA DOR,0.0,0.0,0.0,4.0,1.0,1.0,,0,3
os ultimos cangaceiros,OS ULTIMOS CANGACEIROS,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
para minha amada morta,PARA MINHA AMADA MORTA,0.0,0.0,0.0,12.0,0.0,0.0,,0,1
pele,PELE,0.0,0.0,0.0,7.0,0.0,0.0,B2200213000000,0,1
permanencia,PERMANÊNCIA,0.0,0.0,0.0,11.0,0.0,0.0,,0,1
perola,PÉROLA,0.0,0.0,0.0,5.0,0.0,0.0,B2300338800000,0,1
propriedade,PROPRIEDADE,0.0,0.0,0.0,10.0,0.0,0.0,B1900126500000,0,1
quando falta o ar,QUANDO FALTA O AR,0.0,0.0,0.0,4.0,0.0,0.0,B2200114000000,0,1
quase samba,QUASE SAMBA,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
rale,RALÉ,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
reza a lenda,REZA A LENDA,0.0,0.0,0.0,3.0,0.0,0.0,,0,1
rio negro,"RIO, NEGRO",0.0,0.0,0.0,3.0,0.0,0.0,B2300023700000,0,1
sao silvestre,SÃO SILVESTRE,0.0,0.0,0.0,3.0,0.0,0.0,,0,1
super nada,SUPER NADA,0.0,0.0,0.0,5.0,0.0,1.0,,0,2
tabu,TABU,0.0,0.0,0.0,6.0,1.0,0.0,,0,2
tatuagem,TATUAGEM,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
teobaldo morto romeu exilado,"TEOBALDO MORTO, ROMEU EXILADO",0.0,0.0,0.0,2.0,0.0,0.0,,0,1
tia virginia,TIA VIRGÍNIA,0.0,0.0,0.0,4.0,0.0,1.0,B2300041800000,0,2
tres tigres tristes,TRÊS TIGRES TRISTES,0.0,0.0,0.0,15.0,0.0,0.0,B2200349500000,0,1
tudo que aprendemos juntos,TUDO QUE APRENDEMOS JUNTOS,0.0,0.0,0.0,11.0,0.0,0.0,,0,1
vai e vem,VAI E VEM,0.0,0.0,0.0,7.0,0.0,0.0,B2200272200000,0,1
vampiro 40,VAMPIRO 40º,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
al oeste del fin del mundo,Al oeste del fin del mundo,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a sorte em suas maos,A Sorte em suas Mãos,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
happy hour,Happy Hour,0.0,0.0,0.0,0.0,1.0,2.0,,0,2
pela janela,Pela Janela,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
coracao de leao,Coração de Leão,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
diva 2,Divã 2,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
sueno florianopolis,Sueño Florianópolis,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
vergel,Vergel,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
doidas e santas,Doidas e Santas,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
o ultimo jogo,O Último Jogo,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
paulina,Paulina,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a voz do silencio,A Voz do Silêncio,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
o livro dos prazeres,O Livro dos Prazeres,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
uma especie de familia,Uma Espécie de Família,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
beatriz,Beatriz,0.0,0.0,0.0,0.0,2.0,3.0,,0,2
o sexo dos anjos,O Sexo dos Anjos,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
brasil somos nos,Brasil Somos Nós,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
onde esta a felicidade,Onde Está a Felicidade?,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
ladroes de ladri di biciclette,Ladrões de Ladri di Biciclette,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
filhos da pista,Filhos da pista,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
la mamma,La Mamma,0.0,0.0,0.0,0.0,2.0,0.0,,0,1
paisanos,Paisanos,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
tres herois,Três heróis,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
rosselini amou a pensao de dona bombom,Rosselini amou a pensão de Dona Bombom,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
contato,Contato,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
flores do cerrado,Flores do Cerrado,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
imigrantes anonimos,Imigrantes Anônimos,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
bravo,Bravo!,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
praca vermelha,Praça Vermelha,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
song to the siren filme da sereia,Song to the Siren / Filme da Sereia,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
relato de um certo oriente,Relato de um Certo Oriente,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a mesma parte de um homem,A Mesma Parte de um Homem,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
morcego negro as vidas e mortes de pc farias,Morcego Negro - As Vidas e Mortes de PC Farias,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
dores amores,Dores & Amores,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a outra margem,A Outra Margem,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a primeira missa,A primeira missa,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
arte de roubar,Arte de Roubar,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
call girl,Call Girl,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
budapeste,Budapeste,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
entre os dedos,Entre os Dedos,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
as doze estrelas,As Doze Estrelas,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
capitaes de areia,Capitães de Areia,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
duas mulheres,Duas Mulheres,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
o samba que mora em mim,O Samba que Mora em Mim,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
quase memoria,Quase Memória,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
uniao iberica,União Ibérica,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a estrada 47 a montanha,A Estrada 47 (A Montanha),0.0,0.0,0.0,0.0,1.0,0.0,,0,1
o pais do desejo,O País Do Desejo,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
operacao zebra,Operação Zebra,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
jogo das decapitacoes,Jogo das Decapitações,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
os maias alguns episodios romanticos,Os Maias - (Alguns) Episódios Românticos,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
seara de vento,Seara de Vento,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
isolar,Isolar,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
praca paris,Praça Paris,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
caminhos magneticos,Caminhos Magnéticos,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
john africa na terra dos leoes,John África na Terra dos Leões,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
valeu boi,Valeu Boi,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
outra historia do mundo,Outra história do mundo,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
a mulher do pai,A Mulher do Pai,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
prova de coragem,Prova de Coragem,0.0,0.0,0.0,0.0,1.0,1.0,,0,2
porno para iniciantes,Porno para Iniciantes,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
a floresta que se move,A Floresta que se move,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
menino janela tambem queria ter um submarino,Menino Janela Também Queria Ter Um Submarino,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
reus ii,Réus II,0.0,0.0,0.0,0.0,1.0,0.0,,0,1
animal print,Animal Print,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
livramento,Livramento,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
bestia,Bestia,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el baile de los 41,El Baile De Los 41,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
los brujos,Los Brujos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
il barbiere della marina,Il Barbiere Della Marina,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
ese fin de semana,Ese Fin De Semana,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
sucedio en enero,Sucedió En Enero,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
la inversion de la carga,La Inversión De La Carga,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
variaciones de koch,Variaciones De Koch,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
quando minha vida era minha vida,Quando Minha Vida Era Minha Vida,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
casa no campo,Casa no Campo,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
ladrilleros,Ladrilleros,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
tempo de poder,Tempo de Poder,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
tempestade,Tempestade,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
naufragos,Náufragos,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
br lab,BR Lab,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
las vacaciones de hilda,Las Vacaciones De Hilda,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
l educazione della nonna,L'Educazione Della Nonna,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
la botera,La Botera,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
pedro,Pedro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
centro da terra,Centro da Terra,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
verdes campos,Verdes Campos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el fantasma,El Fantasma,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
la ereccion de toribio bardelli,La Erección De Toribio Bardelli,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
un crimen en comun,Un Crimen En Común,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a teoria dos vidros quebrados la teoria de los vidrios rotos,A Teoria dos Vidros Quebrados (La Teoría De Los Vidrios Rotos),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a casa flutante,A Casa Flutante,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
alfredo y catalina,Alfredo Y Catalina,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
arvore perfumada,Árvore Perfumada,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
indolor,Indolor,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
brlab desenvolvimento de projetos audiovisuais,Brlab  Desenvolvimento De Projetos Audiovisuais,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
arana,Araña,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
zacarias,Zacarias,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
divino amor ex obreiro,Divino Amor (ex Obreiro),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o sentido da vida,O Sentido da Vida,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
desobsesion,Desobsesión,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el camino de allah,El Camino de Allah,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
quanto basta ex palato assoluto,Quanto Basta (ex Palato Assoluto),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
senhoritas,Senhoritas,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
viuvos,Viúvos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
caminho aberto,Caminho Aberto,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
doce inferno na galaxia,Doce Inferno na Galáxia,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
casarao,Casarão,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
amici cinema italiano e cinema brasileiro,"Amici, Cinema Italiano e Cinema Brasileiro",0.0,0.0,0.0,0.0,0.0,1.0,,0,1
fim da primeira parte,Fim da Primeira Parte,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
verlust,Verlust,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
perro negro,Perro Negro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
pessoas humanas,Pessoas Humanas,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
poetas do ceu,Poetas do Céu,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
tiete,Tiete,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o barqueiro,O Barqueiro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
as prenhas las prenadas,As Prenhas (Las Preñadas),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
amanha eu conto,Amanha Eu Conto,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
cyclone,Cyclone,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o testamento,O Testamento,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el ultimo ano del congo mirador,El Último Año Del Congo Mirador,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
che memorias de um ano secreto ex fisim,"Che, Memórias de um Ano Secreto (ex Fisím)",0.0,0.0,0.0,0.0,0.0,1.0,,0,1
chico ventana tambien quisiera tener un submarino,Chico Ventana También Quisiera Tener Un Submarino,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
as herdeiras,As Herdeiras,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
refrigerantes e cancoes de amor ex refrigerantes,Refrigerantes e Canções de Amor (ex Refrigerantes),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
rosas de ermera,Rosas de Ermera,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
joaquim ex um certo joaquim,Joaquim (ex Um Certo Joaquim),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
raiva ex seara de vento,(Raiva (ex Seara de Vento),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
dolores,Dolores,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
petalas negras,Pétalas Negras,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
meu nome e bagda ex bagda,Meu Nome é Bagdá (ex Bagdá),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
fe cega faca amolada,"Fé Cega, Faca Amolada",0.0,0.0,0.0,0.0,0.0,1.0,,0,1
vozes no silencio,Vozes no Silêncio,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
porno para iniciantes ex pornostein,Porno para Iniciantes (ex Pornostein),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
vazante ex mercedes,Vazante (ex Mercedes),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
pendular ex os caminhos de batista,Pendular (ex Os Caminhos de Batista),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
mulher do pai ex na sala de jantar,Mulher do Pai (ex Na Sala de Jantar),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
diamantino ex tristes monroes,Diamantino (ex Tristes Monroes),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el hombre que cuida,El Hombre que Cuida,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
estrella distante,Estrella Distante,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
segundo tempo,Segundo Tempo,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
esmeralda,Esmeralda,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
meninas do crime,Meninas do Crime,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
lilith,Lilith,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
vinte anos ex pao sem cebola,Vinte Anos (ex Pão Sem Cebola),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
filhos da pista los hijos de la ruta,Filhos da Pista/Los Hijos de La Ruta,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
meu mundial,Meu Mundial,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
carmen,Carmen,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
desterro,Desterro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
brlab laboratorio desenvolvimento de projetos,Brlab Laboratorio Desenvolvimento de Projetos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
workshop e tal,Workshop e Tal,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
refugiado,Refugiado,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
alguem como eu ex mulheres,Alguém Como Eu (ex Mulheres),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
lua em sagitario,Lua em Sagitário,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
rompiendo la ola,Rompiendo La Ola,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
do outro lado da lua,Do Outro Lado da Lua,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
los silencios ex cinco vidas e um segredo,Los Silencios (ex Cinco Vidas e um Segredo),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
turma da bossa,Turma da Bossa,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
dias nublados,Dias Nublados,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
antes o tempo nao acabava,Antes o Tempo Não Acabava,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
romance policial,Romance Policial,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
perto do ceu,Perto do Céu,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o segredo da serpente,O Segredo da Serpente,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
deslembro ex a memoria e um musculo da imaginacao,Deslembro (ex A Memória É um Músculo da Imaginaçao),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
tropykaos,Tropykaos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
elefantes secos,Elefantes Secos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
mercados de america latina,Mercados de América Latina,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
pode copiar,Pode Copiar,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
comigo,Comigo,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
lab sp,Lab Sp,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
ponto de encontro,Ponto de Encontro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
girimunho,Girimunho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el padre de gardel ex el silencio de tacuarembo,El padre de Gardel (ex El Silencio de Tacuarembó),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
amor sem fronteiras,Amor Sem Fronteiras,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
super nada ex teste,Super Nada (Ex Teste),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o vizinho,O Vizinho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
para francisco,Para Francisco,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
grand tour,Grand Tour,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a vontade dos homens,A Vontade dos Homens,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
boi neon ex valeu boi,Boi Neon (ex Valeu Boi!),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
diplomado preservacao filmica,Diplomado Preservação Fílmica,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
ii seminario de biclioci,Ii Seminario de Biclioci,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
mundialito,Mundialito,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
el facilitador,El Facilitador,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
entre vales,Entre Vales,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
exilados,Exilados,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o manuscrito perdido ex o manuscrito perdido de fradique mendes,O Manuscrito Perdido (ex O Manuscrito Perdido de Fradique Mendes),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
carta para o futuro,Carta Para o Futuro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
sobre rodas latinoamerica,Sobre Rodas Latinoamerica,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
sempre em outro lugar,Sempre Em Outro Lugar,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a marcha,A Marcha,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
clandestinos,Clandestinos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
tudo isto me parece um sonho,Tudo Isto Me Parece Um Sonho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
d felix e o tempo redondo,D. Felix e o Tempo Redondo,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
c u b a,C.U.B.A.,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
garcia,Garcia,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
muita calma nessa hora,Muita Calma Nessa Hora,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
reus,Reus,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
do comeco ao fim,Do Começo Ao Fim,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
dawson isla 10,Dawson Isla 10,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
hotel atlantico,Hotel Atlântico,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
31 minutos,31 Minutos,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
que culpa tiene el tomate,Que Culpa Tiene El Tomate,0.0,0.0,0.0,0.0,0.0,2.0,,0,1
nao linear,Não Linear,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o mulato,O Mulato,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
solimoes,Solimões,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
cicatrices del mundo,Cicatrices del Mundo,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
ao relento,Ao Relento,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
caldo de cana,Caldo de Cana,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a margem do lixo,À Margem do Lixo,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
milho,Milho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
estamos juntos ex antes da noite,Estamos Juntos (ex Antes da Noite),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
la vieja de atras a velha dos fundos,La Vieja de Atrás (A Velha dos Fundos),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
simao botelho,Simão Botelho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
leonera ex desencuentro,Leonera (ex Desencuentro),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a guerra dos vizinhos,A Guerra dos Vizinhos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o menino no espelho,O Menino no Espelho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o vendedor de passados,O Vendedor de Passados,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o drible,O Drible,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
doce brasil holandes,Doce Brasil Holandês,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
moreno alto,Moreno Alto,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
demoro,Demorô,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
juan e janaina,Juan e Janaína,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
descobrindo o brasil,Descobrindo o Brasil,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
roubo na chacara do ceu,Roubo na Chácara do Céu,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a festa da menina morta,A Festa da Menina Morta,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
olhos azuis,Olhos Azuis,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
mare nossa historia de amor,"Maré, Nossa História de Amor",0.0,0.0,0.0,0.0,0.0,2.0,,0,1
corrida dos bichos,Corrida dos Bichos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
amor a venda,Amor à Venda,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
corpo presente,Corpo Presente,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a virgem do futebol,A Virgem do Futebol,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
sepe tiaraju,Sepé Tiaraju,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
valsa negra,Valsa Negra,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
fronteiras do paraiso,Fronteiras do Paraíso,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
cabeza de vaca en sudamerica,Cabeza de Vaca En Sudamérica,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
federal,Federal,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
falsa loura,Falsa Loura,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
historias de alice,Histórias de Alice,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
insonia,Insônia,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
os 12 trabalhos,Os 12 Trabalhos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
voce e eu,Você e Eu,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o homem de dentro,O Homem de Dentro,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
o voo do pequeno principe,O Voo do Pequeno Principe,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
e proibido proibir,É Proibido Proibir,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
mulheres do brasil,Mulheres do Brasil,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
sonhos e desejos,Sonhos e Desejos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
tapete vermelho,Tapete Vermelho,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
onde andara dulce veiga,Onde Andará Dulce Veiga?,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
a ultima operacao ex utopia sequestrada,A Última Operação (ex Utopia Sequestrada),0.0,0.0,0.0,0.0,0.0,1.0,,0,1
compassos,Compassos,0.0,0.0,0.0,0.0,0.0,1.0,,0,1
praia brava ex sim o filme,"Praia Brava (Ex Sim, o Filme)",0.0,0.0,0.0,0.0,0.0,1.0,,0,1
