chamada,grau_automatismo,criterio_pontuacao,elo_decisor,destino,macro_categoria,observacao
PRODECINE 02,,,distribuidora,,,rev Cainan
PRODAV 01,misto_pont_roteiro,,,,,rev Cainan
PRODAV 06,automatico,,,,,rev Cainan
ARRANJOS REGIONAIS,,,produtora,,,rev Cainan proponente nao comissao
PRODAV 02 - PROJETO DERIVADO,misto_pont_roteiro,,,,,rev Cainan
