instrumento;n;n_critica;critica_media;n_acad;papers_soma;citacoes_soma;n_presenca;n_presenca_intl;Lstar_mediana;pv2024_soma;n_imdb;imdb_votes_mediana
FSA puro;363.0;177.0;3.78;64.0;273.0;258.0;51.0;27.0;2.0;372358.0;172.0;73.0
Misto FSA+Renúncia;324.0;215.0;3.73;54.0;401.0;224.0;101.0;59.0;2.0;987369.0;231.0;146.0
