CPB;titulo;ano;chamada;categoria;bilheteria_nominal_r;bilheteria_deflac_r2024;outras_janelas_deflac_r2024;outras_janelas_nominal_r;receita_total_deflac_r2024;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_internacional_0_100;total_paises_alcancados;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;critica_indice_1_5;critica_n_fontes;cita_n_papers;cita_soma_cit;prestigio_festiv;CNPJ_produtora;genero_diretor;diversidade_regional;protagonista_diverso;UF_requerente;tem_diretor_prestigio;IMDB_GENRES;IMDB_RUNTIME;PRESTIGIO_FESTIVAIS;N_DIRETORES;tipo_investimento;valor_nominal_r;valor_deflac_r2024;ano_referencia_deflacao;roi_sobre_este_inv_deflac
B1402281100000;ADVOGADOS CONTRA A DITADURA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;27.651.181/0001-72;;;;;;;;;;RENUNCIA_OUTROS;700000.0;1224431.6;2014;0.0
B1402081900000;ALEMÃO;2014;;Renúncia — Outros Mecanismos;11819536.84;19134559.64;358583.54;205000;19134559.64;0.0;27.3478;0.0;0;0.0;0;0;0;3.5;1;;;;05.387.293/0001-25;;;;;;;;;;RENUNCIA_OUTROS;400000.0;699675.2;2014;27.3478
B1402148800000;ALMANAQUE DOS ESPORTES;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;10.532.883/0001-34;;;;;;;;;;RENUNCIA_ART3;807000.0;1411594.72;2014;0.0
B1500118400000;ANDRÉ MIDANI - DO VINIL AO DOWNLOAD;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;1.0;1.0;;09.180.984/0001-04;;;;;;;;;;RENUNCIA_ART3;900000.0;1574269.2;2014;0.0
B1500118400000;ANDRÉ MIDANI - DO VINIL AO DOWNLOAD;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;1.0;1.0;;09.180.984/0001-04;;;;;;;;;;RENUNCIA_OUTROS;250000.0;437297.0;2014;0.0
B1402480200000;APNEIA;2014;;Renúncia — Outros Mecanismos;65048.75;100851.24;209902.56;120000;100851.24;0.0;0.0914;0.0;0;0.0;0;0;0;0.0;0;;;;11.179.178/0001-68;;;;;;;;;;RENUNCIA_OUTROS;630859.64;1103492.11;2014;0.0914
B1402778600000;ARQUITETURA DA COR;2014;;Renúncia — Outros Mecanismos;0.0;0.0;113697.22;65000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;10.874.608/0001-07;;;;;;;;;;RENUNCIA_OUTROS;650000.0;1136972.2;2014;0.0
B1500451800000;ATO, ATALHO E VENTO;2014;;Renúncia — Outros Mecanismos;12244.59;17911.88;104951.28;60000;17911.88;0.0;0.0223;0.0;0;0.0;0;0;0;0.0;0;;;;66.708.900/0001-04;;;;;;;;;;RENUNCIA_OUTROS;460000.0;804626.48;2014;0.0223
B1500276200000;AUSÊNCIA;2014;;Renúncia — Art.3/3-A/39;55061.46;80116.4;113697.22;65000;80116.4;0.0;0.0458;11.7;0;48.5;0;1;1;0.0;0;;;;07.477.471/0001-34;;;;;;;;;;RENUNCIA_ART3;250000.0;437297.0;2014;0.1832
B1500276200000;AUSÊNCIA;2014;;Renúncia — Art.3/3-A/39;55061.46;80116.4;113697.22;65000;80116.4;0.0;0.0458;11.7;0;48.5;0;1;1;0.0;0;;;;07.477.471/0001-34;;;;;;;;;;RENUNCIA_OUTROS;750000.0;1311891.0;2014;0.0611
B1402203900000;BRINCANTE;2014;;Renúncia — Outros Mecanismos;90976.77;142380.56;104951.28;60000;142380.56;0.0;0.0581;0.0;0;0.0;0;0;0;0.0;0;;;;01.378.559/0001-12;;;;;;;;;;RENUNCIA_OUTROS;1400000.0;2448863.2;2014;0.0581
B1402244100000;CARLOS;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;629707.68;360000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;08.378.645/0001-74;;;;;;;;;;RENUNCIA_OUTROS;922583.0;1613771.11;2014;0.0
B1500245000000;CAROL LEVY CONTAROLANDO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;139935.04;80000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.3;1;;;;04.490.617/0001-93;;;;;;;;;;RENUNCIA_ART3;650000.0;1136972.2;2014;0.0
B1402144900000;CATIVAS - PRESAS PELO CORAÇÃO;2014;;Renúncia — Art.3/3-A/39;17830.08;26082.56;104951.28;60000;26082.56;0.0;0.0391;0.0;0;0.0;0;0;0;0.0;0;;;;00.508.766/0001-81;;;;;;;;;;RENUNCIA_ART3;80000.0;139935.04;2014;0.1864
B1402144900000;CATIVAS - PRESAS PELO CORAÇÃO;2014;;Renúncia — Art.3/3-A/39;17830.08;26082.56;104951.28;60000;26082.56;0.0;0.0391;0.0;0;0.0;0;0;0;0.0;0;;;;00.508.766/0001-81;;;;;;;;;;RENUNCIA_OUTROS;301302.45;527034.63;2014;0.0495
B1402750200000;CATIVAS - PRESAS PELO CORAÇÃO;2014;;Renúncia — Art.3/3-A/39;17830.08;26082.56;0.0;0;26082.56;0.0;0.0391;0.0;0;0.0;0;0;0;0.0;0;;;;00.508.766/0001-81;;;;;;;;;;RENUNCIA_ART3;80000.0;139935.04;2014;0.1864
B1402750200000;CATIVAS - PRESAS PELO CORAÇÃO;2014;;Renúncia — Art.3/3-A/39;17830.08;26082.56;0.0;0;26082.56;0.0;0.0391;0.0;0;0.0;0;0;0;0.0;0;;;;00.508.766/0001-81;;;;;;;;;;RENUNCIA_OUTROS;301302.45;527034.63;2014;0.0495
B1402246700000;CONSELHO TUTELAR;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;244886.32;140000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;28.629.780/0001-52;;;;;;;;;;RENUNCIA_ART3;2249664.41;3935085.99;2014;0.0
B1402145700000;COPA DE ELITE;2014;;Renúncia — Art.3/3-A/39;8058713.16;13046190.36;743404.9;425000;13046190.36;0.0;2.5541;0.0;0;0.0;0;0;0;2.2;1;;;;02.140.164/0001-40;;;;;;;;;;RENUNCIA_ART3;2879535.11;5036848.26;2014;2.5901
B1402145700000;COPA DE ELITE;2014;;Renúncia — Art.3/3-A/39;8058713.16;13046190.36;743404.9;425000;13046190.36;0.0;2.5541;0.0;0;0.0;0;0;0;2.2;1;;;;02.140.164/0001-40;;;;;;;;;;RENUNCIA_OUTROS;40591.89;71002.85;2014;183.7418
B1500614800000;DAS PROFUNDEZAS;2014;;Renúncia — Outros Mecanismos;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;2.0;0.0;;00.563.081/0001-38;;;;;;;;;;RENUNCIA_OUTROS;67424.31;117937.79;2014;0.0
B1402183000000;DEMOCRACIA EM PRETO E BRANCO;2014;;Renúncia — Art.3/3-A/39;15644.72;25327.12;218648.5;125000;25327.12;0.0;0.0284;0.0;0;0.0;0;0;0;4.165;2;;;;03.360.320/0001-40;;;;;;;;;;RENUNCIA_ART3;235000.0;411059.18;2014;0.0616
B1402183000000;DEMOCRACIA EM PRETO E BRANCO;2014;;Renúncia — Art.3/3-A/39;15644.72;25327.12;218648.5;125000;25327.12;0.0;0.0284;0.0;0;0.0;0;0;0;4.165;2;;;;03.360.320/0001-40;;;;;;;;;;RENUNCIA_OUTROS;275615.0;482102.45;2014;0.0525
B1402284400000;DESCALÇO SOBRE A TERRA VERMELHA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;139935.04;80000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.883;2;;;;44.154.342/0001-31;;;;;;;;;;RENUNCIA_OUTROS;720000.0;1259415.36;2014;0.0
B1402189000000;DESTINO BRASIL DANÇA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;489772.64;280000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;05.643.831/0001-03;;;;;;;;;;RENUNCIA_OUTROS;745000.0;1303145.06;2014;0.0
B1500335800000;DIVÃ A 2;2014;;Renúncia — Art.3/3-A/39;2262612.69;3309841.08;218648.5;125000;3309841.08;0.0;1.5516;0.0;0;0.0;0;0;0;3.5;1;;;;02.863.008/0001-07;;;;;;;;;;RENUNCIA_ART3;504514.98;882491.55;2014;3.7506
B1500335800000;DIVÃ A 2;2014;;Renúncia — Art.3/3-A/39;2262612.69;3309841.08;218648.5;125000;3309841.08;0.0;1.5516;0.0;0;0.0;0;0;0;3.5;1;;;;02.863.008/0001-07;;;;;;;;;;RENUNCIA_OUTROS;715000.0;1250669.42;2014;2.6465
B1402150700000;DO LADO DE FORA;2014;;Renúncia — Outros Mecanismos;122382.48;198124.08;104951.28;60000;198124.08;0.0;0.1762;15.35;0;0.0;81109;0;0;3.7;1;3.0;0.0;;05.045.517/0001-10;;;;;;;;;;RENUNCIA_OUTROS;642700.0;1124203.13;2014;0.1762
B1402161500000;DOMINGUINHOS;2014;;Renúncia — Art.3/3-A/39;126279.01;204366.4;358583.54;205000;204366.4;0.0;0.1509;0.0;0;0.0;0;0;0;0.0;0;2.0;0.0;;06.323.379/0001-57;;;;;;;;;;RENUNCIA_OUTROS;774373.5;1354524.83;2014;0.1509
B1402368100000;DUAS PÁTRIAS, DOIS AMORES;2014;;Renúncia — Outros Mecanismos;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.775;1;0.0;;;32.267.676/0001-32;;;;;;;;;;RENUNCIA_OUTROS;500000.0;874594.0;2014;0.0
B1402130700000;EL ARDOR;2014;;Renúncia — Art.3/3-A/39;3299.4;4651.92;113697.22;65000;4651.92;0.0;0.0096;12.3;0;11.5;0;46;8;0.0;0;;;;02.140.120/0001-10;;;;;;;;;;RENUNCIA_ART3;277500.0;485399.67;2014;0.0096
B1402707600000;ENCANTADOS;2014;;Renúncia — Art.3/3-A/39;113067.88;149696.4;244886.32;140000;149696.4;0.0;0.0159;0.0;0;0.0;0;0;0;0.0;0;;;;00.193.157/0001-80;;;;;;;;;;RENUNCIA_OUTROS;5398087.77;9442270.35;2014;0.0159
B1402687700000;ENTRE FRONTEIRAS ÁFRICA 2;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;244886.32;140000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;00.669.963/0001-82;;;;;;;;;;RENUNCIA_ART3;1985500.0;3473012.77;2014;0.0
B1402246100000;EXPERIMENTOS EXTRAORDINÁRIOS;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;244886.32;140000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.928;2;;;;16.729.130/0001-08;;;;;;;;;;RENUNCIA_ART3;2666892.25;4664895.92;2014;0.0
B1500778100000;FERNANDO DE NORONHA - OBSERVATÓRIO DA NATUREZA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;;;04.524.792/0001-54;;;;;;;;;;RENUNCIA_OUTROS;370000.0;647199.56;2014;0.0
B1500714700000;FESTA DA UVA 80 ANOS - A CELEBRAÇÃO DE UMA IDENTIDADE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;489772.64;280000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.068;2;1.0;0.0;;13.925.421/0001-75;;;;;;;;;;RENUNCIA_OUTROS;1109995.79;1941591.32;2014;0.0
B1700052000000;FILHOS DE BACH;2014;;Renúncia — Art.3/3-A/39;49455.0;65544.36;104951.28;60000;65544.36;0.0;0.0081;0.9;0;4.5;0;0;0;3.993;2;;;;09.180.984/0001-04;;;;;;;;;;RENUNCIA_ART3;3000000.0;5247564.0;2014;0.0125
B1700052000000;FILHOS DE BACH;2014;;Renúncia — Art.3/3-A/39;49455.0;65544.36;104951.28;60000;65544.36;0.0;0.0081;0.9;0;4.5;0;0;0;3.993;2;;;;09.180.984/0001-04;;;;;;;;;;RENUNCIA_OUTROS;1615000.0;2824938.62;2014;0.0232
B1500388300000;FRANCISCO DE ASSIS- UMA LIÇÃO DE VIDA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.2;1;;;;PESSOA FÍSICA;;;;;;;;;;RENUNCIA_OUTROS;52207.6;91320.91;2014;0.0
B1402230800000;FREEWAY;2014;;Renúncia — Outros Mecanismos;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;04.736.316/0001-05;;;;;;;;;;RENUNCIA_OUTROS;228500.0;399689.46;2014;0.0
B1402621800000;GRANDE HOTEL;2014;;Renúncia — Outros Mecanismos;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.4;1;;;;14.592.038/0001-05;;;;;;;;;;RENUNCIA_OUTROS;220000.0;384821.36;2014;0.0
B1402681000000;HISTORIAS DE VERÃO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;139935.04;80000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.37;2;0.0;;;01.378.559/0001-12;;;;;;;;;;RENUNCIA_ART3;1474179.75;2578617.53;2014;0.0
B1402094700000;HOJE EU QUERO VOLTAR SOZINHO;2014;;Renúncia — Outros Mecanismos;2516876.92;4073133.68;358583.54;205000;4073133.68;0.0;1.2386;14.26;0;0.0;36402;0;0;3.965;2;0.0;;;08.677.301/0001-66;;;;;;;;;;RENUNCIA_OUTROS;1880000.0;3288473.44;2014;1.2386
B1402204500000;HOJE É DIA DE MÚSICA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.05;2;;;;09.180.984/0001-04;;;;;;;;;;RENUNCIA_ART3;1995820.68;3491065.58;2014;0.0
B1500168300000;HORA DE COMER;2014;;Renúncia — Outros Mecanismos;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.0;1;;;;04.350.398/0001-47;;;;;;;;;;RENUNCIA_OUTROS;500000.0;874594.0;2014;0.0
B1402825000000;HQ - EDIÇÃO ESPECIAL;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;3.0;0.0;;05.840.498/0001-14;;;;;;;;;;RENUNCIA_ART3;1855449.75;3245530.44;2014;0.0
B1402299100000;IRMÃO DO JOREL- 1ª TEMPORADA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;244886.32;140000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;09.551.826/0001-13;;;;;;;;;;RENUNCIA_ART3;5292163.48;9256988.85;2014;0.0
B1402233800000;ISOLADOS;2014;;Renúncia — Art.3/3-A/39;1026386.96;1661610.16;603469.86;345000;1661610.16;0.0;3.7997;0.0;0;0.0;0;0;0;0.0;0;;;;13.110.657/0001-53;;;;;;;;;;RENUNCIA_ART3;150000.0;262378.2;2014;6.3329
B1402233800000;ISOLADOS;2014;;Renúncia — Art.3/3-A/39;1026386.96;1661610.16;603469.86;345000;1661610.16;0.0;3.7997;0.0;0;0.0;0;0;0;0.0;0;;;;13.110.657/0001-53;;;;;;;;;;RENUNCIA_OUTROS;100000.0;174918.8;2014;9.4993
B1402107400000;JOGO DE XADREZ;2014;;Renúncia — Outros Mecanismos;6397.88;10357.48;218648.5;125000;10357.48;0.0;0.0211;0.0;0;0.0;0;0;0;4.4;1;;;;05.865.587/0001-15;;;;;;;;;;RENUNCIA_OUTROS;280000.0;489772.64;2014;0.0211
B1402782000000;JOÃO DO VOO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;244886.32;140000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.245;2;;;;27.815.174/0001-69;;;;;;;;;;RENUNCIA_ART3;230000.0;402313.24;2014;0.0
B1402115000000;JULIO SUMIU;2014;;Renúncia — Art.3/3-A/39;2181566.56;3531721.76;743404.9;425000;3531721.76;0.0;0.8076;0.0;0;0.0;0;0;0;0.0;0;;;;03.360.320/0001-40;;;;;;;;;;RENUNCIA_ART3;2500049.34;4373056.3;2014;0.8076
B1402301900000;LILI A EX;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;02.525.725/0001-29;;;;;;;;;;RENUNCIA_ART3;620000.0;1084496.56;2014;0.0
B1402246200000;LOWRIDER BRASIL;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;209902.56;120000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;16.729.130/0001-08;;;;;;;;;;RENUNCIA_ART3;1702691.65;2978327.8;2014;0.0
B1402543500000;MADE IN CHINA;2014;;Renúncia — Art.3/3-A/39;4633556.09;7501002.32;253632.26;145000;7501002.32;0.0;0.9317;0.0;0;0.0;0;0;0;0.0;0;0.0;;;04.453.786/0001-53;;;;;;;;;;RENUNCIA_ART3;3000000.0;5247564.0;2014;1.4294
B1402543500000;MADE IN CHINA;2014;;Renúncia — Art.3/3-A/39;4633556.09;7501002.32;253632.26;145000;7501002.32;0.0;0.9317;0.0;0;0.0;0;0;0;0.0;0;0.0;;;04.453.786/0001-53;;;;;;;;;;RENUNCIA_OUTROS;1602538.0;2803140.24;2014;2.6759
B1500544400000;MANUAL PRÁTICO DA MELHOR IDADE;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;244886.32;140000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.657;1;0.0;;;08.304.465/0001-48;;;;;;;;;;RENUNCIA_ART3;720000.0;1259415.36;2014;0.0
B1600012600000;MAR ME QUER;2014;;Renúncia — Outros Mecanismos;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;;;;07.966.825/0001-04;;;;;;;;;;RENUNCIA_OUTROS;465208.0;813736.25;2014;0.0
B1402261200000;MENINOS DA VILA - A MAGIA DO SANTOS;2014;;Renúncia — Outros Mecanismos;429.8;695.8;8745.94;5000;695.8;0.0;0.001;0.0;0;0.0;0;0;0;3.965;2;;;;01.613.170/0001-04;;;;;;;;;;RENUNCIA_OUTROS;400000.0;699675.2;2014;0.001
B1402236600000;MEU AMIGÃOZÃO - SEGUNDA TEMPORADA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;349837.6;200000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;;;02.683.477/0001-44;;;;;;;;;;RENUNCIA_OUTROS;1750000.0;3061079.0;2014;0.0
