diretor;diretor_norm;n_obras_fomento;ano_primeira_obra;ano_ultima_obra;n_obras_fsa;n_obras_renuncia;investimento_fsa_deflac;investimento_total_deflac;bilheteria_deflac;outras_janelas_deflac;receita_total_deflac;pct_receita_sintetica;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_intl_medio;pontuacao_festivais_max;pontuacao_festivais_media;adm_eu_total;critica_media;categoria_principal;genero_diretor;diversidade_regional;cita_n_papers;cita_soma_citacoes;wikidata_id;prestigio_festiv;prestigio_filmes;fest_diretor_norm;fest_n_participacoes_total;fest_n_festivais_especial;fest_n_festivais_aa;fest_n_competicao_principal;fest_n_secao_paralela;fest_n_premios;fest_tem_curta_festival;fest_tem_longa_festival;fest_melhor_nivel;fest_primeiro_festival_ano;fest_ultimo_festival_ano;fest_festivais_lista;fest_n_festivais_distintos;fest_n_cannes;fest_n_berlim;fest_n_veneza;fest_n_oscar;fest_n_sundance;fest_n_rotterdam;fest_n_tiff;fest_n_locarno;fest_n_san_sebastian;fest_n_idfa;fest_n_annecy;fest_n_karlovy_vary
MARCELO SILVA SANTOS;MARCELO SILVA SANTOS;91;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESSIAS GERALDO DOS SANTOS;MESSIAS GERALDO DOS SANTOS;90;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VINICIUS DE OLIVEIRA SILVA;VINICIUS DE OLIVEIRA SILVA;83;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JOSE BONIFACIO BRASIL DE OLIVEIRA;JOSE BONIFACIO BRASIL DE OLIVEIRA;83;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DARCY BURGER JUNIOR;DARCY BURGER JUNIOR;82;2014.0;2015.0;2;1;1829650.65;4338288.89;41330.52;199783.92;241114.44;82.9;0.1318;0.0556;0.0;0.0;0.0;0;3.96;_tv_excluir;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANIEL FERRO DA SILVA;DANIEL FERRO DA SILVA;81;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATEUS SIQUEIRA RIGOLAO;MATEUS SIQUEIRA RIGOLAO;74;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARCO AURELIO DA SILVA MAZZOLA;MARCO AURELIO DA SILVA MAZZOLA;70;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UELTER RIBEIRO DA COSTA LIMA;UELTER RIBEIRO DA COSTA LIMA;70;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VANIA ALVES SMITH LIMA;VANIA ALVES SMITH LIMA;68;2016.0;2023.0;18;7;23882949.01;30194780.63;0.0;3278051.2;3278051.2;100.0;0.1373;0.1086;0.0;0.0;0.0;0;3.881;_tv_excluir;;;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
