CPB;titulo;ano;chamada;categoria;investimento_fsa_nominal;investimento_renuncia_art3_nominal;investimento_renuncia_outros_nominal;investimento_fsa_deflac;investimento_renuncia_total_deflac;investimento_total_deflac;bilheteria_nominal;bilheteria_deflac;outras_janelas_nominal;outras_janelas_deflac;receita_total_deflac;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;paises_festivais;paises_lumiere;paises_vod_europa;paises_lista;critica_indice_1_5;critica_fontes;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;cita_venues;prestigio_festiv;wikidata_id_dir;CNPJ_produtora;genero_diretor;diversidade_regional;protagonista_diverso;UF_requerente;tem_diretor_prestigio;imdb_genres;imdb_runtime;prestigio_festivais;n_diretores;investimento_total_nominal;roi_dom_fsa_nominal;roi_dom_total_nominal
B1700524600000;SOCORRO, VIREI UMA GAROTA!;2017;;Renúncia — Art.3/3-A/39;0.0;2880000.0;800000.0;0.0;5315395.68;5315395.68;414411.72;521094.56;60000;86664.06;521094.56;0.0;0.098;0.0;0.0;0;0;0;0;;;;;3.765;adoro_critico|adoro_usuario;2;alta;;;;;;;03.987.306/0001-71;;;;;;;;;;3680000.0;;0.1289
B1800210700000;SOS FADA MANU (TERCEIRA TEMPORADA);2017;;Renúncia — Art.3/3-A/39;0.0;1300000.0;0.0;0.0;1877721.3;1877721.3;0.0;0.0;280000;404432.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;16.729.130/0001-08;;;;;;;;;;1300000.0;;0.2154
B1700565600000;SOU AMOR;2017;;sem_categoria;0.0;0.0;940000.0;0.0;1357736.94;1357736.94;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.3;adoro_usuario;1;baixa;0.0;;;;;;12.751.837/0001-51;;;;;;;;;;940000.0;;0.0
B1700498000000;TODOS;2017;;Renúncia — Art.3/3-A/39;0.0;0.0;100000.0;0.0;144440.1;144440.1;1395.0;1848.84;60000;86664.06;1848.84;0.0;0.0128;0.0;0.0;0;0;0;0;;;;;4.1;adoro_usuario;1;baixa;;;;;;;05.270.790/0001-49;;;;;;;;;;100000.0;;0.614
B1700603000000;TU CASA ES MI CASA;2017;;Renúncia — Art.3/3-A/39;0.0;2996851.0;0.0;0.0;4328654.58;4328654.58;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;15.479.865/0001-50;;;;;;;;;;2996851.0;;0.0
B1700531300000;UM CONTRA TODOS 2 - TELEFILME;2017;;Renúncia — Art.3/3-A/39;0.0;6699384.06;0.0;0.0;9676597.04;9676597.04;0.0;0.0;60000;86664.06;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;2.0;1.0;1.0;LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas);;;09.180.984/0001-04;;;;;;;;;;6699384.06;;0.009
B1700539500000;UM NOVO CAPITALISMO;2017;;Renúncia — Outros Mecanismos;0.0;0.0;783200.0;0.0;1131254.86;1131254.86;0.0;0.0;60000;86664.06;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.4;adoro_usuario;1;baixa;;;;;;;09.165.924/0001-12;;;;;;;;;;783200.0;;0.0766
B1800235900000;UMA QUASE DUPLA;2017;;Renúncia — Art.3/3-A/39;0.0;3000000.0;734838.0;0.0;5394603.74;5394603.74;9861331.82;13034779.24;140000;202216.14;13034779.24;0.0;2.4163;0.0;0.0;0;0;0;0;;;;;2.2;adoro_usuario;1;baixa;;;;;;;07.570.789/0001-65;;;;;;;;;;3734838.0;;2.6778
B1700525900000;VELHAS AMIGAS;2017;;sem_categoria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;86664.06;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;08.346.159/0001-74;;;;;;;;;;0.0;;
B1700600300000;VERGEL;2017;;Renúncia — Outros Mecanismos;0.0;0.0;59500.0;0.0;85941.86;85941.86;7572.99;9522.52;60000;86664.06;9522.52;0.0;0.1108;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;16.490.810/0001-03;;;;;;;;;;59500.0;;1.1357
B1700473200000;VIEW;2017;;Renúncia — Art.3/3-A/39;0.0;199049.0;0.0;0.0;287506.57;287506.57;0.0;0.0;60000;86664.06;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;46.397.220/0001-00;;;;;;;;;;199049.0;;0.3014
B1700219000000;VIVI VIRAVENTO;2017;;Renúncia — Art.3/3-A/39;0.0;500000.0;3495250.0;0.0;5770743.1;5770743.1;0.0;0.0;360000;519984.36;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;06.998.046/0001-28;;;;;;;;;;3995250.0;;0.0901
B1800606700000;ZAATARI, O FILME;2017;;Renúncia — Art.3/3-A/39;0.0;300000.0;95000.0;0.0;570538.4;570538.4;3288.48;4135.04;280000;404432.28;4135.04;0.0;0.0072;0.0;0.0;0;0;0;0;;;;;3.5;adoro_usuario;1;baixa;;;;;;;64.044.886/0001-58;;;;;;;;;;395000.0;;0.7172
B1700280300000;ÁFRICA ANIMAL DE RICHARD RASMUSSEN - 1ª TEMPORADA;2017;;Renúncia — Art.3/3-A/39;0.0;1597858.38;0.0;0.0;2307948.24;2307948.24;0.0;0.0;60000;86664.06;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.635;adoro_critico|adoro_usuario;2;alta;;;;;;;13.404.221/0001-77;;;;;;;;;;1597858.38;;0.0376
B1700182900000;ÓPERA ABERTA - PESCADORES DE PÉROLAS;2017;;Renúncia — Art.3/3-A/39;0.0;384507.81;0.0;0.0;555383.47;555383.47;0.0;0.0;60000;86664.06;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;30.0;11.0;7.0;LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | DOC online - Revista Digital de Cinema Documentário | SHILAP Revista de lepidopterología;;;02.525.725/0001-29;;;;;;;;;;384507.81;;0.156
B1700606000000;ÔMICRON;2017;;sem_categoria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;07.077.834/0001-44;;;;;;;;;;0.0;;
B1800489100000;#MECHAMADEBRUNA - 3ª TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;83531.64;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;10.0;1.0;1.0;LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | DOC online - Revista Digital de Cinema Documentário;;;03.360.320/0001-40;;;;;;;;;;0.0;;
B1800072200000;#MECHAMADEBRUNA - TELEFILME;2018;;Renúncia — Art.3/3-A/39;0.0;300000.0;0.0;0.0;417658.2;417658.2;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;03.360.320/0001-40;;;;;;;;;;300000.0;;0.2
B1800301000000;(DES)ENCONTROS - 2A TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;280000;389814.32;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;11.503.567/0001-05;;;;;;;;;;0.0;;
B1800380700000;10 SEGUNDOS PARA VENCER;2018;;Renúncia — Art.3/3-A/39;0.0;2700000.0;3147751.5300000003;0.0;8141204.59;8141204.59;746314.88;986485.36;365000;508150.81;986485.36;0.0;0.1212;0.8;4.0;0;0;0;0;;;;;0.0;;0;;;;;;;;29.269.719/0001-04;;;;;;;;;;5847751.53;;0.19
B1800611900000;10 SEGUNDOS PARA VENCER SÉRIE;2018;;Renúncia — Art.3/3-A/39;0.0;2700000.0;3147751.5300000003;0.0;8141204.59;8141204.59;0.0;0.0;80000;111375.52;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;29.269.719/0001-04;;;;;;;;;;5847751.53;;0.0137
B1800586200000;A BUSCA PELO SABOR;2018;;Renúncia — Outros Mecanismos;0.0;0.0;199500.0;0.0;277742.7;277742.7;0.0;0.0;280000;389814.32;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.6;adoro_usuario;1;baixa;;;;;;;04.791.421/0001-39;;;;;;;;;;199500.0;;1.4035
B1800572900000;A LOUCA DAS PLANTAS - 1ª TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;1149753.41;0.0;0.0;1600679.8;1600679.8;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;07.627.467/0001-05;;;;;;;;;;1149753.41;;0.0522
B1800584800000;A PRESEPADA;2018;;Renúncia — Art.3/3-A/39;0.0;350000.0;0.0;0.0;487267.9;487267.9;0.0;0.0;360000;501189.84;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;07.579.479/0001-01;;;;;;;;;;350000.0;;1.0286
B1800170400000;A REINVENÇÃO DO FUTEBOL ARTE;2018;;Renúncia — Art.3/3-A/39;0.0;419020.69;0.0;0.0;583358.09;583358.09;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.88;adoro_critico;1;media;1.0;0.0;0.0;;;;01.378.559/0001-12;;;;;;;;;;419020.69;;0.1432
B1800122600000;A ROUPA IDEAL;2018;;Renúncia — Art.3/3-A/39;0.0;1666921.3;0.0;0.0;2320677.83;2320677.83;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.16;adoro_critico|adoro_usuario;2;media;;;;;;;15.479.865/0001-50;;;;;;;;;;1666921.3;;0.036
B1800547100000;A TURMA DO PERERÊ.DOC;2018;;Renúncia — Outros Mecanismos;0.0;0.0;1000000.0;0.0;1392194.0;1392194.0;7478.26;9403.24;60000;83531.64;9403.24;0.0;0.0068;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;03.984.281/0001-52;;;;;;;;;;1000000.0;;0.0675
B1800536200000;ADA & RÓI;2018;;sem_categoria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;140000;194907.16;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;08.394.172/0001-07;;;;;;;;;;0.0;;
B1800613100000;ALICE & SÓ;2018;;Renúncia — Art.3/3-A/39;0.0;2390796.53;1015000.0;0.0;4741529.49;4741529.49;2470.7;3081.4;60000;83531.64;3081.4;0.0;0.0006;0.0;0.0;0;0;0;0;;;;;0.0;;0;;2.0;1.0;1.0;LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas);;;02.298.682/0001-96;;;;;;;;;;3405796.53;;0.0183
B1800470600000;AMANHÃ CHEGOU;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;518400.0;0.0;721713.37;721713.37;10681.07;14094.92;60000;83531.64;14094.92;0.0;0.0195;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;15.490.163/0001-77;;;;;;;;;;518400.0;;0.1363
B1800598100000;AMAZÔNIA, O DESPERTAR DA FLORESTANIA;2018;;Renúncia — Art.3/3-A/39;0.0;500000.0;1572319.0;0.0;2885070.08;2885070.08;60757.83;76398.84;280000;389814.32;76398.84;0.0;0.0265;0.0;0.0;0;0;0;0;;;;;3.6;adoro_usuario;1;baixa;0.0;;;;;;05.081.895/0001-50;;;;;;;;;;2072319.0;;0.1644
B1800112900000;AMEAÇAS DO CÉU;2018;;Renúncia — Outros Mecanismos;0.0;0.0;750000.0;0.0;1044145.5;1044145.5;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;14.215.563/0001-01;;;;;;;;;;750000.0;;0.08
B1800380000000;AMIGO DE ALUGUEL - 1ª TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.04;adoro_critico|adoro_usuario;2;media;0.0;;;;;;02.525.725/0001-29;;;;;;;;;;3000000.0;;0.02
B1900048900000;AMIGO DE ALUGUEL - 2ª TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.04;adoro_critico|adoro_usuario;2;media;0.0;;;;;;02.525.725/0001-29;;;;;;;;;;3000000.0;;0.02
B1900089100000;AS AVENTURAS DO PEQUENO COLOMBO;2018;;Renúncia — Art.3/3-A/39;0.0;220000.0;0.0;0.0;306282.68;306282.68;35700.0;47314.4;60000;83531.64;47314.4;0.0;0.1545;10.86;0.0;2974;0;0;0;;;;;3.04;adoro_critico|adoro_usuario;2;media;;;;;;;07.060.648/0001-00;;;;;;;;;;220000.0;;0.435
B1800316400000;AS HISTÓRIAS QUE NÃO TERMINAM;2018;;Renúncia — Outros Mecanismos;0.0;0.0;250000.0;0.0;348048.5;348048.5;0.0;0.0;120000;167063.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.4;adoro_usuario;1;baixa;;;;;;;14.592.038/0001-05;;;;;;;;;;250000.0;;0.48
B1800424100000;ATÉ QUE A MORTE NOS SEPARE - 3ª TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;930000.0;0.0;0.0;1294740.42;1294740.42;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.6;adoro_usuario;1;baixa;1.0;0.0;0.0;;;;00.020.648/0001-20;;;;;;;;;;930000.0;;0.0645
B1800461900000;AUTÊNTICAS;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;08.708.048/0001-60;;;;;;;;;;3000000.0;;0.02
B1800516800000;BABY & ROSE - 1A TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;652327.66;0.0;0.0;908166.65;908166.65;0.0;0.0;280000;389814.32;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.043;adoro_critico|adoro_usuario;2;alta;2.0;2.0;2.0;St Andrews Research Repository (St Andrews Research Repository) | Research Square;;;10.476.872/0001-84;;;;;;;;;;652327.66;;0.4292
B1800593100000;BAIÃO DE DOIS;2018;;Renúncia — Art.3/3-A/39;0.0;365000.0;0.0;0.0;508150.81;508150.81;0.0;0.0;360000;501189.84;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.775;adoro_critico;1;alta;0.0;;;;;;07.202.193/0001-02;;;;;;;;;;365000.0;;0.9863
B1900350900000;BALANGAY: NAS ÁGUAS FILIPINAS;2018;;Renúncia — Art.3/3-A/39;0.0;475000.0;0.0;0.0;661292.15;661292.15;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;16.551.639/0001-03;;;;;;;;;;475000.0;;0.1263
B1800073500000;BANDEIRAS;2018;;Renúncia — Outros Mecanismos;0.0;0.0;234800.0;0.0;326887.15;326887.15;0.0;0.0;80000;111375.52;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;14.592.038/0001-05;;;;;;;;;;234800.0;;0.3407
B1800311000000;BAR BRASIL - EPISÓDIO PILOTO;2018;;sem_categoria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;07.496.159/0001-98;;;;;;;;;;0.0;;
B1800502200000;BRASILEIROS S/A;2018;;sem_categoria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;83531.64;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;4.6;adoro_usuario;1;baixa;;;;;;;09.629.963/0001-23;;;;;;;;;;0.0;;
B1800452400000;BRUSQUE 92;2018;;Renúncia — Outros Mecanismos;0.0;0.0;147535.0;0.0;205397.34;205397.34;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;24.856.310/0001-70;;;;;;;;;;147535.0;;0.0
B1800348700000;BUZZU NA ESCOLA INTERGALÁCTICA - 2A TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;60.915.899/0001-02;;;;;;;;;;3000000.0;;0.02
B1900057300000;CAMINHOS MAGNÉTICOS;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;1454.52;1828.96;60000;83531.64;1828.96;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;15.588.308/0001-77;;;;;;;;;;0.0;;
B1800288500000;CAMPO DE BATALHA - OS MUNDIAIS E A GUERRA FRIA;2018;;Renúncia — Art.3/3-A/39;0.0;900000.0;0.0;0.0;1252974.6;1252974.6;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.1;adoro_usuario;1;baixa;5.0;23.0;21.0;Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Cinema Journal | Revista FAMECOS;;;04.069.379/0001-47;;;;;;;;;;900000.0;;0.0667
B1800435500000;CANTANDO COM PING E PONG;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;140000;194907.16;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;01.161.933/0001-23;;;;;;;;;;0.0;;
B1900409100000;CARLINHOS E CARLÃO;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;1546.18;1928.36;0;0.0;1928.36;0.0;0.0005;1.2;6.0;0;0;0;0;;;;;0.0;;0;;;;;;;;10.645.895/0001-75;;;;;;;;;;3000000.0;;0.0005
B1800247700000;CAROS AMIGOS;2018;;Renúncia — Art.3/3-A/39;0.0;510000.0;0.0;0.0;710018.94;710018.94;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;20.520.970/0001-25;;;;;;;;;;510000.0;;0.0
B1800482700000;CHACRINHA, O VELHO GUERREIRO;2018;;Renúncia — Art.3/3-A/39;0.0;2000000.0;0.0;0.0;2784388.0;2784388.0;546734.08;722677.76;140000;194907.16;722677.76;0.0;0.2595;0.0;0.0;0;0;0;0;;;;;4.197;adoro_critico|adoro_usuario;2;alta;1.0;1.0;1.0;;;;13.110.657/0001-53;;;;;;;;;;2000000.0;;0.3434
B1800605500000;CHARLIE, O ENTREVISTADOR DE COISAS;2018;;Renúncia — Art.3/3-A/39;0.0;1139562.3;1400000.0;0.0;3535563.4;3535563.4;0.0;0.0;140000;194907.16;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;01.161.933/0001-23;;;;;;;;;;2539562.3;;0.0551
B1800266200000;CLUBVERSÃO LATINO;2018;;Renúncia — Art.3/3-A/39;0.0;1223878.2;0.0;0.0;1703875.89;1703875.89;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;1.0;0.0;0.0;Repositori Obert de Coneixement de lAjuntament de Barcelona;;;08.708.048/0001-60;;;;;;;;;;1223878.2;;0.049
B1800266700000;CLÁSSICOS DO FUTEBOL;2018;;Renúncia — Art.3/3-A/39;0.0;1250000.0;0.0;0.0;1740242.5;1740242.5;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;19.542.988/0001-49;;;;;;;;;;1250000.0;;0.048
B1800458000000;CODINOME CLEMENTE;2018;;Renúncia — Outros Mecanismos;0.0;0.0;200000.0;0.0;278438.8;278438.8;1706.07;1729.56;280000;389814.32;1729.56;0.0;0.0062;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;73.315.293/0001-70;;;;;;;;;;200000.0;;1.4085
B1800482600000;CONFISSÕES MÉDICAS;2018;;Renúncia — Art.3/3-A/39;0.0;2652356.23;0.0;0.0;3692594.43;3692594.43;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.05;adoro_critico;1;alta;;;;;;;16.729.130/0001-08;;;;;;;;;;2652356.23;;0.0226
B1800469100000;CORAÇÕES E MENTES - ESCOLAS QUE TRANSFORMAM;2018;;Renúncia — Outros Mecanismos;0.0;0.0;192443.22;0.0;267918.3;267918.3;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;12.396.390/0001-40;;;;;;;;;;192443.22;;0.3118
B1800130200000;CRIADOR DE CELEBRIDADES;2018;;Renúncia — Art.3/3-A/39;0.0;2038884.8;0.0;0.0;2838523.19;2838523.19;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;16.729.130/0001-08;;;;;;;;;;2038884.8;;0.0294
B1800340300000;CRÔ EM FAMILIA;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;7325307.2;9682653.4;145000;201868.13;9682653.4;0.0;2.3183;0.0;0.0;0;0;0;0;;;;;3.656;adoro_critico;1;alta;;;;;;;02.863.008/0001-07;;;;;;;;;;3000000.0;;2.4901
B1800435600000;DE CARONA COM OS ÓVNIS;2018;;Renúncia — Art.3/3-A/39;0.0;2193197.86;0.0;0.0;3053356.9;3053356.9;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;01.246.684/0001-79;;;;;;;;;;2193197.86;;0.0274
B1900104200000;DE PERNAS PRO AR 3;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;500000.0;0.0;4872679.0;4872679.0;57342486.42;72104223.24;140000;194907.16;72104223.24;0.0;14.7977;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;42.473.256/0001-66;;;;;;;;;;3500000.0;;16.4236
B1800072000000;DESNUDE;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;10.0;3.0;2.0;Alphaville Journal of Film and Screen Media | Esferas | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual;;;09.180.984/0001-04;;;;;;;;;;3000000.0;;0.02
B1800561400000;DETETIVES DO PRÉDIO AZUL 2 - O MISTÉRIO ITALIANO;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;1740000.0;0.0;6598999.56;6598999.56;20523122.32;26671326.08;140000;194907.16;26671326.08;0.0;4.0417;1.6;8.0;0;0;0;0;;;;;0.0;;0;;;;;;;;12.580.503/0002-43;;;;;;;;;;4740000.0;;4.3593
B1800600000000;DIA DE REIS;2018;;Renúncia — Art.3/3-A/39;0.0;350000.0;0.0;0.0;487267.9;487267.9;0.0;0.0;360000;501189.84;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.093;adoro_critico|adoro_usuario;2;media;;;;;;;15.745.495/0001-55;;;;;;;;;;350000.0;;1.0286
B1800479200000;DISTRITO CULTURAL - QUARTA TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;550000.0;0.0;0.0;765706.7;765706.7;0.0;0.0;80000;111375.52;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;03.218.295/0001-65;;;;;;;;;;550000.0;;0.1455
B1800422100000;DJON ÁFRICA;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;47912.36;63278.04;60000;83531.64;63278.04;0.0;;14.0;20.0;0;16;13;0;;;;;0.0;;0;;;;;;;;12.658.679/0001-90;;;;;;;;;;0.0;;
B1800187500000;DO JIU JITSU AO MMA - SEGUNDA TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;2999850.14;0.0;0.0;4176373.37;4176373.37;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;7.0;0.0;0.0;LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP);;;02.947.857/0001-49;;;;;;;;;;2999850.14;;0.02
B1800216700000;DOUTORA DARCI - 1° TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;3000000.0;0.0;0.0;4176582.0;4176582.0;0.0;0.0;280000;389814.32;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;18.082.113/0001-49;;;;;;;;;;3000000.0;;0.0933
B1800138800000;DOWNWIND NAS FILIPINAS;2018;;sem_categoria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;83531.64;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;04.098.427/0001-25;;;;;;;;;;0.0;;
B1900030000000;DRAG ME AS A QUEEN - SEGUNDA TEMPORADA;2018;;Renúncia — Art.3/3-A/39;0.0;2520814.0;0.0;0.0;3509462.13;3509462.13;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;15.743.170/0001-33;;;;;;;;;;2520814.0;;0.0238
B1800202200000;DÊ LEMBRANÇAS A TODOS;2018;;Renúncia — Art.3/3-A/39;0.0;1000000.0;0.0;0.0;1392194.0;1392194.0;0.0;0.0;200000;278438.8;0.0;0.0;0.0;0.3;1.5;0;0;0;0;;;;;3.962;adoro_critico|adoro_usuario;2;alta;0.0;;;;;;08.304.465/0001-48;;;;;;;;;;1000000.0;;0.2
B1800605100000;ELAS NO SINGULAR;2018;;Renúncia — Art.3/3-A/39;0.0;1900003.8;0.0;0.0;2645173.89;2645173.89;0.0;0.0;60000;83531.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.3;adoro_usuario;1;baixa;2.0;0.0;0.0;Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT);;;06.137.016/0001-27;;;;;;;;;;1900003.8;;0.0316
B1800547000000;ELEIÇÕES;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;42291.75;53179.0;120000;167063.28;53179.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;2.0;2.0;2.0;Cadernos Pagu | Logos;;;10.551.469/0001-72;;;;;;;;;;0.0;;
B1800237300000;ELY CAMARGO - ÁGUA DA FONTE;2018;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;83531.64;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;3.938;adoro_critico|adoro_usuario;2;media;;;;;;;08.394.172/0001-07;;;;;;;;;;0.0;;
