cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
02605295000155;5;5;1.0;10012677.2;21275894.4;31288571.6;55183607.53000001;53640931.67999999;1.763698523393123;7.787999999999999;13.92;4;476820.0;2015;2021;False;False;RJ;LEREBY PRODUÇÕES LTDA;RJ;Duplo Retorno;1994;True
72062029000109;4;4;1.0;17763147.03;12453241.440000001;30216388.47;3347727.66;2597441.28;0.11079178649439704;0.0;0.0;0;130656.0;2017;2023;False;False;RJ;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;RJ;Fomento Baixo Retorno;1996;True
05565485000184;4;4;1.0;12209110.030000001;16610791.59;28819901.619999997;35212031.26;34844371.8;1.221795678704333;0.0;0.0;0;1752735.0;2016;2023;False;False;RJ;PANORAMICA COMUNICACAO LTDA.;RJ;Retorno Doméstico;2011;False
29269719000104;4;4;1.0;5695310.0;21290858.43;26986168.43;3613863.3499999996;1253612.92;0.1339153929678486;2.325;6.6;3;63059.0;2014;2018;False;False;RJ;TAMBELLINI FILMES E PRODUÇÕES AUDIOVISUAIS LTDA;RJ;Fomento Baixo Retorno;1965;True
73619637000134;4;3;0.75;9275097.219999999;17558496.369999997;26833593.590000004;7955085.68;6843093.6;0.2964599450058228;0.5333333333333333;1.6;1;96313.0;2016;2019;False;False;RJ;FILMES DO EQUADOR LTDA.;RJ;Fomento Baixo Retorno;1995;True
09416289000107;3;3;1.0;0.0;25887736.45;25887736.45;16044668.22;15739830.959999999;0.6197787222914964;4.716666666666667;11.75;2;0.0;2016;2023;False;True;SP;LATINAMERICA ENTRETENIMENTO INTERNACIONAL LTDA;SP;Retorno Doméstico;2016;False
66876707000174;5;5;1.0;12491601.43;12478642.28;24970243.71;3613763.13;2225705.16;0.14472278172250164;15.053999999999998;40.46;4;111957.0;2015;2020;False;False;SP;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;SP;Duplo Retorno;1993;True
42473256000166;5;5;1.0;9796314.809999999;15057960.65;24854275.459999997;90453291.53999999;88878032.88;3.639345338614832;0.0;0.0;0;808935.0;2014;2021;False;False;RJ;MORENA FILMES EIRELI - ME;RJ;Retorno Doméstico;1974;True
03360320000140;8;7;0.875;11275521.450000001;12767372.3;24042893.75;11455466.310000002;8417152.24;0.4764595488843768;5.095714285714286;30.37;3;244472.0;2014;2022;False;False;RJ;TV ZERO CINEMA LTDA;RJ;Duplo Retorno;1991;True
01946155000188;6;6;1.0;1333468.44;22372571.28;23706039.720000003;36825036.22;36370499.760000005;1.5534031265851602;0.0;0.0;0;21840.0;2015;2023;False;False;RJ;CINÉTICA FILMES E PRODUÇÕES LTDA.;RJ;Retorno Doméstico;2002;True
02863008000107;6;6;1.0;400401.0;22822933.65;23223334.65;39802458.75000001;38950864.12;1.7138993753422922;1.7149999999999999;10.29;1;196737.0;2014;2023;False;False;RJ;TOTAL ENTERTAINMENT LTDA;RJ;Retorno Doméstico;2001;True
09558964000124;4;4;1.0;6847906.76;16078125.509999998;22926032.27;43258814.56;42326030.88;1.8868862283076602;0.0;0.0;0;218166.0;2014;2020;False;False;RJ;CASÉ FILMES LTDA;RJ;Retorno Doméstico;2008;False
17456554000109;5;5;1.0;7700021.24;14459704.42;22159725.659999996;3861393.26;2473747.92;0.17425275561827513;11.132;20.14;4;124434.0;2018;2023;False;False;MG;FILMES DE PLASTICO PRODUCOES AUDIOVISUAIS LTDA - ME;MG;Duplo Retorno;2009;False
07570789000165;5;5;1.0;0.0;21445252.79;21445252.79;35363519.7;34706106.4;1.6490138888215924;6.453999999999999;30.27;2;245043.0;2016;2023;False;True;SP;BIÔNICA CINEMA E TV LTDA.ME;SP;Duplo Retorno;2013;False
12580503000243;4;4;1.0;1926408.0;19094822.81;21021230.81;113172695.95;111984636.4;5.383733092172827;0.6000000000000001;1.6;2;433358.0;2015;2020;False;False;RJ;PARIS PRODUCOES CINEMATOGRAFICAS LTDA;;Retorno Doméstico;2015;False
42488478000152;2;2;1.0;7429612.460000001;12213222.91;19642835.37;17037504.439999998;16560258.68;0.867364823818711;0.0;0.0;0;833011.0;2015;2020;False;False;RJ;SINCROCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA;RJ;Retorno Doméstico;1969;True
05256465000121;5;5;1.0;8644632.23;10254718.49;18899350.72;13562132.219999999;12933570.159999998;0.7175977852851868;0.0;0.0;0;504282.0;2015;2023;False;False;RJ;URCA FILMES LTDA;RJ;Retorno Doméstico;2002;True
11545487000104;5;5;1.0;2310760.95;16502736.86;18813497.81;10175947.179999998;9334813.04;0.5408854473935806;0.4;2.0;1;16409.0;2014;2022;False;False;SP;QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA;SP;Retorno Doméstico;2014;False
00817115000173;2;2;1.0;7560147.0;11016233.370000001;18576380.369999997;310709.22;49998.2;0.01672603670959393;0.0;0.0;0;2515.0;2018;2022;False;False;DF;BSB CINEMA PRODUÇÕES LTDA. - ME;DF;Fomento Baixo Retorno;1996;True
09437566000150;9;8;0.8888888888888888;13449292.4;4890141.5600000005;18339433.96;2020540.42;920762.0800000001;0.11017463376497798;6.61875;31.95;7;18281.0;2014;2022;False;False;PR;GRAFO AUDIOVISUAL LTDA ME;PR;Retorno Internacional;2007;False
00338948000151;3;3;1.0;10365564.98;7639261.2;18004826.18;2137857.12;1114910.16;0.1187380038344808;0.0;0.0;0;56082.0;2015;2019;False;False;RJ;E.H. FILMES LTDA;RJ;Fomento Baixo Retorno;2001;True
94625829000123;7;7;1.0;2094381.45;15559858.149999999;17654239.599999998;3562602.3800000004;971873.5599999999;0.20179868749487237;2.0857142857142854;3.6;6;8803.0;2014;2019;False;False;RS;CASA DE CINEMA DE PORTO ALEGRE LTDA.;RS;Fomento Baixo Retorno;1982;True
03626688000108;3;3;1.0;10151684.85;7283271.0600000005;17434955.91;3039068.2;2336993.4;0.17430891226153952;0.0;0.0;0;117555.0;2015;2018;False;False;RJ;MELODRAMA PRODUÇÕES LTDA.;RJ;Fomento Baixo Retorno;2004;True
03987306000252;2;2;1.0;0.0;16867073.02;16867073.02;67471979.82;66789384.76;4.000218635444076;0.0;0.0;0;0.0;2014;2015;False;True;RJ;CAMISA LISTRADA LTDA - ME;RJ;Retorno Doméstico;2014;False
00538914000100;3;3;1.0;8802549.0;7993299.67;16795848.669999998;18846162.32;18540366.32;1.1220726436802317;0.0;0.0;0;932614.0;2015;2023;False;False;RJ;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;RJ;Retorno Doméstico;1999;True
04939205000198;3;3;1.0;5497892.2700000005;11253700.02;16751592.29;1065960.56;227148.88000000003;0.06363338729514889;0.0;0.0;0;11426.0;2015;2023;False;False;RJ;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;Fomento Baixo Retorno;2003;True
02020661000104;2;2;1.0;5221836.3;11398507.58;16620343.879999999;2650338.74;1662047.52;0.15946353211074477;0.0;0.0;0;83066.0;2014;2014;False;False;RJ;CONSPIRAÇÃO FILMES S/A;RJ;Fomento Baixo Retorno;1996;True
01161933000123;2;2;1.0;9300441.6;6676077.300000001;15976518.899999999;1245529.7999999998;608049.6799999999;0.0779600241952582;0.0;0.0;0;30586.0;2016;2020;False;False;SP;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;SP;Fomento Baixo Retorno;1989;True
53976478000118;3;3;1.0;4714916.68;10996654.09;15711570.77;839626.7999999999;381656.24;0.053440029153749596;0.0;0.0;0;19198.0;2015;2023;False;False;SP;NEXUS CINEMA E VÍDEO LTDA;SP;Fomento Baixo Retorno;1986;True
02238621000133;4;4;1.0;6986458.15;8521324.25;15507782.4;5114822.449999999;4586673.84;0.3298229442528159;12.89;20.48;4;230718.0;2017;2021;False;False;SP;BURITI FILMES LTDA;SP;Duplo Retorno;1990;True
02669022000174;5;3;0.6;5596378.7;9572567.84;15168946.54;1191233.1099999999;718324.04;0.07853103752846373;10.746666666666664;15.95;3;36133.0;2016;2020;False;False;PE;REC PRODUTORES ASSOCIADOS LTDA;PE;Retorno Internacional;2004;True
13029754000116;2;2;1.0;4455020.8;10608300.0;15063320.8;4202514.4;4015660.6;0.27898990241248794;0.95;1.9;1;488.0;2019;2023;False;False;RJ;ESCARLATE CONTEÚDO AUDIOVISUAL E EXPERIENCIAS CRIATIVAS LTDA - ME;RJ;Fomento Baixo Retorno;2019;False
73586513000108;1;1;1.0;5531904.0;9485017.72;15016921.72;1232762.44;1037855.28;0.08209155398061167;14.54;14.54;1;52206.0;2018;2018;False;False;RJ;LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA;RJ;Retorno Internacional;1962;True
00101698000131;2;1;0.5;4928287.5;9973758.7;14902046.2;307525.4;120671.6;0.020636454609837408;0.4;0.4;1;6070.0;2015;2019;False;False;RJ;YPEARTS AUDIOVISUAL LTDA;RJ;Fomento Baixo Retorno;1995;True
07477471000134;4;4;1.0;3710335.94;11188775.5;14899111.44;1937681.3099999998;1341880.12;0.13005348122961619;2.925;11.7;1;30472.0;2014;2021;False;False;SP;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;SP;Fomento Baixo Retorno;1992;True
46848701000186;2;2;1.0;3420125.3;11274614.21;14694739.51;1264567.08;574750.6799999999;0.08605576704094975;0.0;0.0;0;28911.0;2015;2019;False;False;SP;HECTOR BABENCO FILMES EIRELI;SP;Fomento Baixo Retorno;1975;True
07060648000100;5;5;1.0;6118060.5;8290403.72;14408464.22;3078867.96;2315542.88;0.21368467263334745;4.343999999999999;10.86;2;113907.0;2015;2023;False;False;RJ;INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME;RJ;Fomento Baixo Retorno;1975;True
08821187000104;1;1;1.0;3498376.0;10616371.4;14114747.4;8168454.279999999;7591555.72;0.5787177091104018;1.2;1.2;1;381869.0;2015;2015;False;False;SP;OURO 21 PRODUÃÃO DE FILMES LTDA;SP;Fomento Baixo Retorno;2000;True
06137016000127;5;5;1.0;3325655.42;10566736.66;13892392.079999998;1611161.5;495668.04;0.11597437581102304;1.28;4.0;2;22084.0;2014;2019;False;False;SP;PRIMO FILMES LTDA;SP;Fomento Baixo Retorno;2004;True
13650474000120;3;3;1.0;5445791.28;7515185.4;12960976.68;869803.98;423066.28;0.06710944718712356;0.0;0.0;0;21281.0;2016;2022;False;False;BA;ROSZA FILMES PRODUÇÕES LTDA ME;;Fomento Baixo Retorno;2016;False
