cpb;titulo;ano;categoria;cat_nova;chamada;tem_complementacao;tem_comercializacao;cnpj_produtora;uf;tipo_obra;segmento_destinacao_inicial;instrumento;inv_fsa;inv_renuncia;inv_total;bilheteria_obs;renda_pmi_estimada;janelas_crt;receita_ref;publico_domestico;sessoes_total;n_municipios;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;critica_indice_1_5;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;universo_aplicacao;universo_retorno;retorno_dom;retorno_intl;tem_intl
B1402145700000;COPA DE ELITE;2014;Renúncia — Art.3/3-A/39;;;;;02140164000140;RJ;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;5107851.11;5107851.11;13046190.36;0.0;743404.9;13789595.26;;;;0.0;0.0;0;0;0;0;2.2;1;baixa;0.0;;;True;True;2.6996862208851655;0.0;False
B1500614800000;DAS PROFUNDEZAS;2014;Renúncia — Outros Mecanismos;;;;;00563081000138;SC;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;117937.79;117937.79;0.0;0.0;104951.28;104951.28;;;;0.0;0.0;0;0;0;0;0.0;0;;2.0;0.0;0.0;True;False;;;False
B1402183000000;DEMOCRACIA EM PRETO E BRANCO;2014;Renúncia — Art.3/3-A/39;;;;;03360320000140;RJ;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;893161.63;893161.63;25327.12;0.0;218648.5;243975.62;;;;0.0;0.0;0;0;0;0;4.165;2;alta;0.0;;;True;True;0.2731595400039744;0.0;False
B1500335800000;DIVÃ A 2;2014;Renúncia — Art.3/3-A/39;;;;;02863008000107;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;2133160.97;2133160.97;3309841.08;0.0;218648.5;3528489.58;166491.0;;;0.0;0.0;0;0;0;0;3.5;1;baixa;0.0;;;True;True;1.6541131352126697;0.0;False
B1402150700000;DO LADO DE FORA;2014;Renúncia — Outros Mecanismos;;;;;05045517000110;SP;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;1124203.13;1124203.13;198124.08;0.0;104951.28;303075.36;;;;15.35;0.0;81109;0;0;0;3.7;1;baixa;3.0;0.0;0.0;True;True;0.26959127929131455;15.35;True
B1402732100000;DO NEBLINA AO ATLÂNTICO;2014;Renúncia — Art.3/3-A/39;;;;;03767502000130;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;sem inv.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;False;False;;;False
B1402161500000;DOMINGUINHOS;2014;Renúncia — Art.3/3-A/39;;;;;06323379000157;SP;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;1354524.83;1354524.83;204366.4;0.0;358583.54;562949.94;;;;0.0;0.0;0;0;0;0;0.0;0;;2.0;0.0;0.0;True;True;0.4156069549496556;0.0;False
B1402368100000;DUAS PÁTRIAS, DOIS AMORES;2014;Renúncia — Outros Mecanismos;;;;;32267676000132;RJ;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;874594.0;874594.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0;0;0;0;3.775;1;alta;0.0;;;True;False;;;False
B1402130700000;EL ARDOR;2014;Renúncia — Art.3/3-A/39;;;;;02140120000110;RJ;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;485399.67;485399.67;4651.92;0.0;113697.22;118349.14;;;;12.3;11.5;0;46;8;0;0.0;0;;0.0;;;True;True;0.2438179243096725;12.3;True
B1402707600000;ENCANTADOS;2014;Renúncia — Art.3/3-A/39;;;;;00193157000180;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;9442270.35;9442270.35;149696.4;0.0;244886.32;394582.72;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.041788966569888564;0.0;False
