cat;n;fsa_mi;roi_dom_fsa_crt;publico_por_mi_fsa;pct_com_intl;desemp_intl_medio;critica_media;papers_por_obra;pct_presenca_intl;roi_dom_fsa_crt__norm;publico_por_mi_fsa__norm;pct_com_intl__norm;desemp_intl_medio__norm;critica_media__norm;papers_por_obra__norm;pct_presenca_intl__norm
Add-on FSA (Compl./Comerc.);52.0;54.004;1.167;51247.457;28.846;2.105;3.74;0.615;23.08;100.0;100.0;56.357463244455516;21.66823455628724;35.483870967742035;28.47222222222222;74.77022058823529
Bilheteria · Distribuidora;106.0;351.187;0.837;39048.33;31.132;3.945;3.65;1.34;23.58;69.80786825251602;75.62321707040438;63.478071268377775;50.51740357478833;6.451612903225811;62.03703703703703;77.06801470588235
Bilheteria · Produtora;104.0;248.588;0.595;25611.976;25.962;2.07;3.63;0.596;11.54;47.666971637694424;48.77415772187857;47.374158983304255;21.119473189087486;0.0;27.592592592592588;21.737132352941174
Automático Bilheteria;35.0;88.273;0.385;17346.016;20.0;1.676;3.8;0.371;14.29;28.453796889295518;32.25678622269505;28.803264390730128;14.941988084038883;54.838709677419324;17.175925925925924;34.375
Arranjos Regionais;279.0;192.782;0.314;9888.107;10.753;0.723;3.87;0.889;6.81;21.957913998170174;17.354094513552464;0.0;0.0;77.41935483870974;41.157407407407405;0.0
Coprodução Intl;29.0;16.633;0.126;2728.73;37.931;2.614;3.94;0.0;13.79;4.757548032936871;3.047941373238452;84.65611761774232;29.64879272499216;100.0;0.0;32.07720588235294
Automático Festivais;7.0;10.825;0.101;2827.438;42.857;7.101;3.66;2.143;28.57;2.4702653247941457;3.245183642247908;100.0;99.99999999999999;9.677419354838788;99.21296296296295;99.99999999999999
Festivais · Pontuação;75.0;157.043;0.074;1203.417;41.333;3.841;3.65;2.16;9.33;0.0;0.0;95.25292798405184;48.886798369394796;6.451612903225811;100.0;11.580882352941178
