elo;n;fsa_mi;total_mi;roi_dom_fsa_crt;roi_dom_fsa_obs;pct_com_sala;publico_mi;publico_por_mi_fsa;n_com_publico;n_com_intl;pct_com_intl;desemp_intl_medio;desemp_intl_perf;admEU_mil;n_com_festival;critica_media;n_critica;papers_soma;papers_por_obra;n_acad;n_presenca_intl;pct_presenca_intl;pv2024_soma
Distribuidora;106.0;351.187;592.913;0.837;0.776;99.057;13.713;39048.33;105.0;33.0;31.132;3.945;12.672;767.524;28.0;3.649;73.0;142.0;1.34;19.0;25.0;23.585;541955.0
Produtora;104.0;248.588;464.924;0.595;0.509;94.231;6.367;25611.976;97.0;27.0;25.962;2.07;7.973;63.356;26.0;3.625;68.0;62.0;0.596;17.0;12.0;11.538;155761.0
