criterio;n;fsa_mi;total_mi;roi_dom_fsa_crt;roi_dom_fsa_obs;pct_com_sala;publico_mi;publico_por_mi_fsa;n_com_publico;n_com_intl;pct_com_intl;desemp_intl_medio;desemp_intl_perf;admEU_mil;n_com_festival;critica_media;n_critica;papers_soma;papers_por_obra;n_acad;n_presenca_intl;pct_presenca_intl;pv2024_soma
Bilheteria;245.0;688.048;1205.761;0.692;0.624;96.735;21.611;31409.552;236.0;67.0;27.347;2.825;10.33;836.084;61.0;3.663;167.0;217.0;0.886;41.0;42.0;17.143;860577.0
Festivais;82.0;167.868;206.111;0.075;0.026;92.683;0.22;1308.146;76.0;34.0;41.463;4.12;9.936;123.616;30.0;3.651;40.0;177.0;2.159;20.0;9.0;10.976;103221.0
