ano;n_obras;fsa_mi;n_chamadas;n_mecanismos
2014;22;53.353165489999995;3;3
2015;39;85.04256292000002;6;4
2016;38;65.81215080000001;7;5
2017;62;107.61208420000001;9;6
2018;103;158.07594057999995;12;7
2019;109;171.32196276999997;10;6
2020;97;150.34471788;15;7
2021;53;100.21791308999998;18;8
2022;71;111.28103483;15;7
2023;93;116.27321352999999;22;8
