ano;fsa_mi;n_fluxos
2012;353.17490560360875;161
2013;1190.3583944459183;683
2014;469.59363762857555;490
2015;429.11701061289983;433
2016;811.4432783779387;775
2017;250.62900629614788;284
2018;1152.078091062017;1280
2019;24.0650272151688;19
2021;52.43059136506872;43
2022;449.5344427231918;223
2023;129.585516956467;22
