cnpj;n_obras;fsa_mi;receita_crt_mi;pub_por_mi_fsa;tem_intl;pct_sala;tipo;s16_perfil;uf
08573621000176;2;2.26835791;0.33361579999999996;0.0;False;0.0;Independente fora da sala;Baixo retorno / nicho;
08578658000197;1;0.24339032;0.10215616000000001;0.0;False;0.0;Independente fora da sala;Baixo retorno / nicho;
08587501000128;1;2.2305165;15.230208639999999;332630.58130258176;True;100.0;Duplo Motor;Emergentes / micro;
08681701000145;2;1.604903;0.17423148;549.5659239218819;False;50.0;Pequeno Porte de Sala;Produção para TV/VoD;
08821187000104;1;3.498376;8.168454279999999;109156.07699115247;True;100.0;Duplo Motor;;
08847593000138;1;0.05666486;0.09665244;11647.430171008982;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
08991631000121;1;2.002005;0.06651616;90.90886386397636;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
09028371000156;1;3.161088;0.10731036000000001;8.541362973760933;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
09065789000133;2;4.696847849999999;0.12321212;424.96586300959274;True;100.0;Vitrine Internacional;Comerciais de sala;
09085894000134;1;1.2529746000000002;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
09095244000170;1;3.7809421800000003;3.00637288;39996.90891861245;False;100.0;Campeã Doméstica;Emergentes / micro;
09107296000119;3;6.57468899;0.8205380400000001;1176.6336037744654;False;100.0;Aposta de Alto Fomento;Comerciais de sala;
09124563000166;2;1.94854951;0.4999059;639.9632103779595;True;100.0;Vitrine Internacional;Prestígio internacional;
09137251000197;1;2.8852011099999997;0.10677360000000001;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
09180984000104;3;12.649668949999999;16.03229866;60816.848491517245;True;100.0;Duplo Motor;Campeãs de público;
09193884000112;1;0.30163542;0.06580386;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
09207344000140;1;1.09464038;0.0776921;546.2981367451473;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
09260004000183;1;0.5568776;0.31505404;1944.7720648128063;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
09261668000167;1;2.56456952;0.14473354000000002;1138.982576693807;True;100.0;Vitrine Internacional;Produção para TV/VoD;
09287514000144;1;0.790272;0.36720166000000004;10121.831470683512;True;100.0;Vitrine Internacional;;
09291317000107;1;2.3847060499999997;0.082764;56.61075083027529;True;100.0;Vitrine Internacional;Emergentes / micro;
