q_ticket;n;ticket_med_mi;roi_fsa_crt;pub_por_mi_fsa;pct_sala;pct_intl
Q1 (menor);138.0;0.166105755;0.599683267062984;7126.275715224546;31.88405797101449;9.420289855072465
Q2;137.0;0.52319064;0.2826066268366944;5306.92451954855;60.58394160583942;17.51824817518248
Q3;137.0;1.1555208000000001;0.20286887556570782;5049.279472430805;86.86131386861314;25.547445255474454
Q4;137.0;2.06185428;0.6254336687775922;27488.147422690625;94.16058394160584;29.927007299270077
Q5 (maior);138.0;3.85199216;0.6355403910096094;29857.503883916783;97.10144927536231;31.88405797101449
