tipo;n_produtoras;n_obras;fsa_mi;pct_fsa;ticket_med_mi;receita_crt_mi;roi_fsa_crt;pub_por_mi_fsa;pct_intl;critica_med;n_obras_med;pct_recorrente
Duplo Motor;21.0;64.0;185.20228011999998;16.545745655349183;3.05903025;313.49089689999994;1.6926945861404978;79958.13545278722;100.0;3.8;3.0;71.42857142857143
Campeã Doméstica;19.0;46.0;164.85771137999998;14.72818671589282;3.7148062300000007;205.88207094;1.2488470767705742;60282.90649439198;0.0;3.859;2.0;78.94736842105263
Vitrine Internacional;86.0;164.0;270.15792219;24.13557902438937;1.282978725;38.01816137000001;0.1407256950372239;2764.8236037094016;100.0;3.75;1.0;44.18604651162791
Independente fora da sala;119.0;146.0;70.89700429;6.333851829191723;0.29451864;7.70477978;0.10867567476453666;93.12100089581938;0.0;3.933;1.0;14.285714285714285
Aposta de Alto Fomento;16.0;40.0;106.9501174;9.554792949436477;2.5829851875;11.61431242;0.1085956023457343;2398.6415932629916;0.0;3.874;2.5;87.5
Pequeno Porte de Sala;184.0;227.0;321.26971071;28.701843825740436;1.26370148;37.40906554;0.1164413086354349;2469.806438479486;0.0;3.8657500000000002;1.0;19.021739130434785
