ano;gini;n_produtoras
2014;0.37530191790569334;19
2015;0.38242958026653184;35
2016;0.46290854213678556;35
2017;0.5805837381023256;55
2018;0.5534078589737064;98
2019;0.4999019363727313;100
2020;0.4873949342948869;85
2021;0.5087876621698271;50
2022;0.4616544745127724;69
2023;0.48728494559777435;90
