p;L
5.191011235955056424e-01;1.210223475177532038e-01
5.213483146067415808e-01;1.223634656642627883e-01
5.235955056179775191e-01;1.237208970361625138e-01
5.258426966292135685e-01;1.250888357741929968e-01
5.280898876404495068e-01;1.265226365255822938e-01
5.303370786516854452e-01;1.279690902657664997e-01
5.325842696629213835e-01;1.294184323376238455e-01
5.348314606741573218e-01;1.308694519594782446e-01
5.370786516853932602e-01;1.323619749119156197e-01
5.393258426966293095e-01;1.338929881195251026e-01
5.415730337078652479e-01;1.354400442133781579e-01
5.438202247191011862e-01;1.369947556221671192e-01
5.460674157303371246e-01;1.385494670309560528e-01
5.483146067415730629e-01;1.401041784397449863e-01
5.505617977528090012e-01;1.416588898485339199e-01
5.528089887640449396e-01;1.432136012573228534e-01
5.550561797752809889e-01;1.447683126661118147e-01
5.573033707865169273e-01;1.463310158754155266e-01
5.595505617977528656e-01;1.478947815104182106e-01
5.617977528089888040e-01;1.494980328668767955e-01
5.640449438202247423e-01;1.511110456463932439e-01
5.662921348314606806e-01;1.527279455115337636e-01
5.685393258426967300e-01;1.543448453766742556e-01
5.707865168539326683e-01;1.560043622517544859e-01
5.730337078651686067e-01;1.576672347807292485e-01
5.752808988764045450e-01;1.593315362030762461e-01
5.775280898876404834e-01;1.610003289449481179e-01
5.797752808988764217e-01;1.626759502606909547e-01
5.820224719101123600e-01;1.643582837329412571e-01
5.842696629213484094e-01;1.660442046932187332e-01
5.865168539325843478e-01;1.677584772526141965e-01
5.887640449438202861e-01;1.694795066468407496e-01
5.910112359550562244e-01;1.712022207113650663e-01
5.932584269662921628e-01;1.729430310603751186e-01
5.955056179775281011e-01;1.747315978916945955e-01
5.977528089887641505e-01;1.765410916709908573e-01
6.000000000000000888e-01;1.783734025298865933e-01
6.022471910112360272e-01;1.802154379774614790e-01
6.044943820224719655e-01;1.820810916680082048e-01
6.067415730337079038e-01;1.839467453585549306e-01
6.089887640449438422e-01;1.858178401827940418e-01
6.112359550561797805e-01;1.876930840339584849e-01
6.134831460674158299e-01;1.895768681632063191e-01
6.157303370786517682e-01;1.914648761584750447e-01
6.179775280898877066e-01;1.934004914938948216e-01
6.202247191011236449e-01;1.953361068293145986e-01
6.224719101123595832e-01;1.972717221647344032e-01
6.247191011235955216e-01;1.992386866565370729e-01
6.269662921348315709e-01;2.012060457487946652e-01
6.292134831460675093e-01;2.031734692632460870e-01
